asm_accession	organism	taxid	bioproject	biosample	strain	asm_seq_tech	n_chromosomes	true_size	asm_coverage	platform	checkm_completeness	checkm_contamination	checkm_completeness_percentile	release_date	library_selection	library_source	library_strategy	run	estimate	method	relative_size	relative_error	cpu_time	memory_mb	stats_num_seqs	stats_sum_len	stats_avg_len	stats_median_len	avg_qual
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	CE91-St59	Illumina;PacBio	1	3608085	190.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307121	4644162.0	lrge-2set	1.2871542660441757	28.715426604417576	25.94	1705.63	14296.0	188698685.0	13199.4	10744.5	0.0
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	CE91-St59	Illumina;PacBio	1	3608085	190.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307121	405509.0	mash	0.11238898196688825	-88.76110180331118	75.19	5260.71	14296.0	188698685.0	13199.4	10744.5	0.0
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	CE91-St59	Illumina;PacBio	1	3608085	190.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307121	17606.0	genomescope	0.0048795967944214175	-99.51204032055786	15.2	1077.98	14296.0	188698685.0	13199.4	10744.5	0.0
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	CE91-St59	Illumina;PacBio	1	3608085	190.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307121	3716082.0	raven	1.029931944507959	2.993194450795921	26.25	2672.24	14296.0	188698685.0	13199.4	10744.5	0.0
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	CE91-St60	Illumina;PacBio	1	3608087	615.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307122	3959878.0	lrge-ava	1.0975006977381643	9.75006977381643	255.68	5780.58	59747.0	1000007274.0	16737.4	16596.0	0.0
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	CE91-St60	Illumina;PacBio	1	3608087	615.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307122	3913628.0	lrge-2set	1.0846822706880406	8.468227068804051	19.91	1964.2	59747.0	1000007274.0	16737.4	16596.0	0.0
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	CE91-St60	Illumina;PacBio	1	3608087	615.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307122	5240970.0	mash	1.4525619809056711	45.2561980905671	104.9	2837.36	59747.0	1000007274.0	16737.4	16596.0	0.0
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	CE91-St60	Illumina;PacBio	1	3608087	615.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307122	3725636.0	genomescope	1.0325793141905946	3.257931419059463	51.41	5545.96	59747.0	1000007274.0	16737.4	16596.0	0.0
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	CE91-St60	Illumina;PacBio	1	3608087	615.0	PACBIO_SMRT	99.38	0.07	100.0	2022-02-04	RANDOM	GENOMIC	WGS	DRR307122	3654791.0	raven	1.0129442555015995	1.29442555015996	196.37	10756.07	59747.0	1000007274.0	16737.4	16596.0	0.0
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	I10	ONT	1	3435295	50.0	OXFORD_NANOPORE	99.38	0.07	100.0	2023-11-11	RANDOM	GENOMIC	WGS	SRR28053600	3575068.0	lrge-ava	1.0406873354398967	4.068733543989672	74.37	1301.34	245205.0	1000001625.0	4078.2	2522.0	12.5
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	I10	ONT	1	3435295	50.0	OXFORD_NANOPORE	99.38	0.07	100.0	2023-11-11	RANDOM	GENOMIC	WGS	SRR28053600	3519642.0	lrge-2set	1.0245530587620568	2.4553058762056827	15.66	328.14	245205.0	1000001625.0	4078.2	2522.0	12.5
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	I10	ONT	1	3435295	50.0	OXFORD_NANOPORE	99.38	0.07	100.0	2023-11-11	RANDOM	GENOMIC	WGS	SRR28053600	6563730.0	mash	1.9106743380117281	91.06743380117283	45.16	228.35	245205.0	1000001625.0	4078.2	2522.0	12.5
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	I10	ONT	1	3435295	50.0	OXFORD_NANOPORE	99.38	0.07	100.0	2023-11-11	RANDOM	GENOMIC	WGS	SRR28053600	3161206.0	genomescope	0.9202138389861715	-7.97861610138285	46.65	3949.24	245205.0	1000001625.0	4078.2	2522.0	12.5
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	I10	ONT	1	3435295	50.0	OXFORD_NANOPORE	99.38	0.07	100.0	2023-11-11	RANDOM	GENOMIC	WGS	SRR28053600	4715239.0	raven	1.3725863426576175	37.25863426576175	492.19	16198.8	245205.0	1000001625.0	4078.2	2522.0	12.5
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	NBC_01269	ONT	2	7532608	102.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696445	7651230.0	lrge-ava	1.0157477994341402	1.5747799434140206	612.51	4216.91	55395.0	780812122.0	14095.4	8942.0	13.28
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	NBC_01269	ONT	2	7532608	102.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696445	7532920.0	lrge-2set	1.0000414199172452	0.004141991724512945	75.86	1573.21	55395.0	780812122.0	14095.4	8942.0	13.28
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	NBC_01269	ONT	2	7532608	102.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696445	8349190.0	mash	1.108406278409815	10.840627840981504	14.99	765.52	55395.0	780812122.0	14095.4	8942.0	13.28
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	NBC_01269	ONT	2	7532608	102.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696445	7064712.0	genomescope	0.9378839307713875	-6.211606922861245	46.15	3406.51	55395.0	780812122.0	14095.4	8942.0	13.28
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	NBC_01269	ONT	2	7532608	102.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696445	7461738.0	raven	0.9905915720026849	-0.9408427997315139	257.61	5431.71	55395.0	780812122.0	14095.4	8942.0	13.28
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	NBC_01344	ONT	1	7648620	115.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696387	7723234.0	lrge-ava	1.0097552238181529	0.9755223818152816	133.18	2283.79	111146.0	897984166.0	8079.3	5026.0	12.3
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	NBC_01344	ONT	1	7648620	115.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696387	7730233.0	lrge-2set	1.0106702908498526	1.0670290849852653	15.92	315.0	111146.0	897984166.0	8079.3	5026.0	12.3
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	NBC_01344	ONT	1	7648620	115.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696387	8803280.0	mash	1.1509631802861169	15.096318028611696	45.07	1397.86	111146.0	897984166.0	8079.3	5026.0	12.3
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	NBC_01344	ONT	1	7648620	115.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696387	6981238.0	genomescope	0.9127447827189742	-8.725521728102585	47.07	4450.69	111146.0	897984166.0	8079.3	5026.0	12.3
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	NBC_01344	ONT	1	7648620	115.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696387	7552253.0	raven	0.9874007337271299	-1.259926627287014	255.68	7117.69	111146.0	897984166.0	8079.3	5026.0	12.3
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	NBC_01295	ONT	1	7559771	15.0	OXFORD_NANOPORE	99.91	0.57	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696425	10113922.0	lrge-ava	1.3378608955218352	33.786089552183526	28.37	1333.3	27207.0	123291633.0	4531.6	232.0	12.57
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	NBC_01295	ONT	1	7559771	15.0	OXFORD_NANOPORE	99.91	0.57	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696425	10042505.0	lrge-2set	1.3284139162416428	32.84139162416428	14.28	494.29	27207.0	123291633.0	4531.6	232.0	12.57
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	NBC_01295	ONT	1	7559771	15.0	OXFORD_NANOPORE	99.91	0.57	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696425	3186160.0	mash	0.42146250197261265	-57.85374980273873	15.36	1360.01	27207.0	123291633.0	4531.6	232.0	12.57
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	NBC_01295	ONT	1	7559771	15.0	OXFORD_NANOPORE	99.91	0.57	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696425	3158812.0	genomescope	0.41784493207532347	-58.21550679246765	12.22	767.73	27207.0	123291633.0	4531.6	232.0	12.57
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	NBC_01295	ONT	1	7559771	15.0	OXFORD_NANOPORE	99.91	0.57	98.79518	2024-01-22	RANDOM	GENOMIC	WGS	SRR21696425	7484038.0	raven	0.9899821039552653	-1.0017896044734689	24.87	1098.34	27207.0	123291633.0	4531.6	232.0	12.57
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	NBC_01347	ONT	1	7680165	68.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696384	8144380.0	lrge-ava	1.0604433628704593	6.044336287045916	82.18	1746.55	79138.0	523177914.0	6611.0	2691.5	11.79
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	NBC_01347	ONT	1	7680165	68.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696384	8219073.0	lrge-2set	1.0701688049670808	7.01688049670808	22.52	772.65	79138.0	523177914.0	6611.0	2691.5	11.79
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	NBC_01347	ONT	1	7680165	68.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696384	7911770.0	mash	1.0301562531534154	3.0156253153415324	44.94	1837.28	79138.0	523177914.0	6611.0	2691.5	11.79
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	NBC_01347	ONT	1	7680165	68.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696384	6965417.0	genomescope	0.9069358535916872	-9.306414640831285	20.05	2080.7	79138.0	523177914.0	6611.0	2691.5	11.79
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	NBC_01347	ONT	1	7680165	68.0	OXFORD_NANOPORE	99.91	0.09	98.79518	2024-01-26	RANDOM	GENOMIC	WGS	SRR21696384	7552513.0	raven	0.9833790029250674	-1.6620997074932635	139.5	3845.77	79138.0	523177914.0	6611.0	2691.5	11.79
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ATCC 29176	Illumina;ONT	1	2733858	100.0	OXFORD_NANOPORE	98.75	0.62	92.30769	2022-09-12	RANDOM	GENOMIC	WGS	SRR15171261	2674074.0	lrge-ava	0.9781320024668435	-2.186799753315644	74.62	963.43	281796.0	1000006673.0	3548.7	1854.0	12.53
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ATCC 29176	Illumina;ONT	1	2733858	100.0	OXFORD_NANOPORE	98.75	0.62	92.30769	2022-09-12	RANDOM	GENOMIC	WGS	SRR15171261	2666172.0	lrge-2set	0.975241581676883	-2.4758418323117004	15.91	316.38	281796.0	1000006673.0	3548.7	1854.0	12.53
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ATCC 29176	Illumina;ONT	1	2733858	100.0	OXFORD_NANOPORE	98.75	0.62	92.30769	2022-09-12	RANDOM	GENOMIC	WGS	SRR15171261	6532920.0	mash	2.3896339897683054	138.96339897683055	45.2	411.22	281796.0	1000006673.0	3548.7	1854.0	12.53
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ATCC 29176	Illumina;ONT	1	2733858	100.0	OXFORD_NANOPORE	98.75	0.62	92.30769	2022-09-12	RANDOM	GENOMIC	WGS	SRR15171261	2697464.0	genomescope	0.9866876772678025	-1.3312322732197501	46.95	4440.11	281796.0	1000006673.0	3548.7	1854.0	12.53
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ATCC 29176	Illumina;ONT	1	2733858	100.0	OXFORD_NANOPORE	98.75	0.62	92.30769	2022-09-12	RANDOM	GENOMIC	WGS	SRR15171261	2704180.0	raven	0.9891442788908568	-1.0855721109143197	666.05	18846.07	281796.0	1000006673.0	3548.7	1854.0	12.53
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	NBRC 14818	Illumina;PacBio	5	3693126	338.0	PACBIO_SMRT	99.8	0.63	100.0	2020-09-02	RANDOM	GENOMIC	WGS	DRR241428	6543399.0	lrge-ava	1.7717778922246357	77.17778922246356	70.0	3561.23	103972.0	1000000173.0	9618.0	8522.0	8.11
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	NBRC 14818	Illumina;PacBio	5	3693126	338.0	PACBIO_SMRT	99.8	0.63	100.0	2020-09-02	RANDOM	GENOMIC	WGS	DRR241428	6599876.0	lrge-2set	1.7870703571987525	78.70703571987525	15.63	5.0	103972.0	1000000173.0	9618.0	8522.0	8.11
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	NBRC 14818	Illumina;PacBio	5	3693126	338.0	PACBIO_SMRT	99.8	0.63	100.0	2020-09-02	RANDOM	GENOMIC	WGS	DRR241428	3730990.0	mash	1.0102525611094775	1.0252561109477445	224.76	5796.88	103972.0	1000000173.0	9618.0	8522.0	8.11
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	NBRC 14818	Illumina;PacBio	5	3693126	338.0	PACBIO_SMRT	99.8	0.63	100.0	2020-09-02	RANDOM	GENOMIC	WGS	DRR241428	3741638.0	genomescope	1.013135755454864	1.3135755454863982	48.65	4996.54	103972.0	1000000173.0	9618.0	8522.0	8.11
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	NBRC 14818	Illumina;PacBio	5	3693126	338.0	PACBIO_SMRT	99.8	0.63	100.0	2020-09-02	RANDOM	GENOMIC	WGS	DRR241428	3847115.0	raven	1.0416961132655642	4.169611326556419	189.2	10736.98	103972.0	1000000173.0	9618.0	8522.0	8.11
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	JS42	ONT	1	1611024	10.0	OXFORD_NANOPORE	99.18	0.33	100.0	2022-10-27	unspecified	GENOMIC	WGS	SRR22028292	1803773.0	lrge-ava	1.119643779360208	11.964377936020815	73.44	1003.63	321626.0	1000000195.0	3109.2	1840.0	10.84
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	JS42	ONT	1	1611024	10.0	OXFORD_NANOPORE	99.18	0.33	100.0	2022-10-27	unspecified	GENOMIC	WGS	SRR22028292	1764099.0	lrge-2set	1.0950172064475763	9.50172064475762	15.6	6.0	321626.0	1000000195.0	3109.2	1840.0	10.84
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	JS42	ONT	1	1611024	10.0	OXFORD_NANOPORE	99.18	0.33	100.0	2022-10-27	unspecified	GENOMIC	WGS	SRR22028292	5804790.0	mash	3.603167923010458	260.3167923010458	45.15	422.0	321626.0	1000000195.0	3109.2	1840.0	10.84
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	JS42	ONT	1	1611024	10.0	OXFORD_NANOPORE	99.18	0.33	100.0	2022-10-27	unspecified	GENOMIC	WGS	SRR22028292	1561605.0	genomescope	0.9693244793373655	-3.067552066263445	46.59	4444.4	321626.0	1000000195.0	3109.2	1840.0	10.84
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	JS42	ONT	1	1611024	10.0	OXFORD_NANOPORE	99.18	0.33	100.0	2022-10-27	unspecified	GENOMIC	WGS	SRR22028292	1865602.0	raven	1.1580224751462425	15.80224751462424	721.08	25290.18	321626.0	1000000195.0	3109.2	1840.0	10.84
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	B7	ONT	1	6236552	66.3	OXFORD_NANOPORE	97.56	1.42	100.0	2018-09-27	unspecified	GENOMIC	WGS	SRR8112132	6396958.0	lrge-ava	1.0257203018591041	2.5720301859104198	131.68	3084.76	96765.0	1000011363.0	10334.4	6849.0	10.6
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	B7	ONT	1	6236552	66.3	OXFORD_NANOPORE	97.56	1.42	100.0	2018-09-27	unspecified	GENOMIC	WGS	SRR8112132	6403552.0	lrge-2set	1.026777616862651	2.677761686265103	15.1	85.0	96765.0	1000011363.0	10334.4	6849.0	10.6
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	B7	ONT	1	6236552	66.3	OXFORD_NANOPORE	97.56	1.42	100.0	2018-09-27	unspecified	GENOMIC	WGS	SRR8112132	9161660.0	mash	1.4690264748854815	46.90264748854816	75.14	1519.7	96765.0	1000011363.0	10334.4	6849.0	10.6
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	B7	ONT	1	6236552	66.3	OXFORD_NANOPORE	97.56	1.42	100.0	2018-09-27	unspecified	GENOMIC	WGS	SRR8112132	5508600.0	genomescope	0.8832765284407154	-11.672347155928469	47.94	4898.89	96765.0	1000011363.0	10334.4	6849.0	10.6
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	B7	ONT	1	6236552	66.3	OXFORD_NANOPORE	97.56	1.42	100.0	2018-09-27	unspecified	GENOMIC	WGS	SRR8112132	6105302.0	raven	0.9789547172860902	-2.1045282713909867	254.04	8562.86	96765.0	1000011363.0	10334.4	6849.0	10.6
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ES-001	Illumina;ONT	1	6544928	567.0	OXFORD_NANOPORE	97.61	1.44	100.0	2021-08-04	RANDOM	GENOMIC	WGS	SRR15310574	6474775.0	lrge-ava	0.9892813182971608	-1.0718681702839206	85.74	1889.95	38337.0	260541646.0	6796.1	5653.0	10.38
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ES-001	Illumina;ONT	1	6544928	567.0	OXFORD_NANOPORE	97.61	1.44	100.0	2021-08-04	RANDOM	GENOMIC	WGS	SRR15310574	6580340.0	lrge-2set	1.0054106019195321	0.5410601919532193	19.07	813.2	38337.0	260541646.0	6796.1	5653.0	10.38
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ES-001	Illumina;ONT	1	6544928	567.0	OXFORD_NANOPORE	97.61	1.44	100.0	2021-08-04	RANDOM	GENOMIC	WGS	SRR15310574	4948560.0	mash	0.7560908233062305	-24.390917669376957	45.26	1488.23	38337.0	260541646.0	6796.1	5653.0	10.38
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ES-001	Illumina;ONT	1	6544928	567.0	OXFORD_NANOPORE	97.61	1.44	100.0	2021-08-04	RANDOM	GENOMIC	WGS	SRR15310574	4963845.0	genomescope	0.7584262195092139	-24.157378049078616	20.76	1156.36	38337.0	260541646.0	6796.1	5653.0	10.38
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ES-001	Illumina;ONT	1	6544928	567.0	OXFORD_NANOPORE	97.61	1.44	100.0	2021-08-04	RANDOM	GENOMIC	WGS	SRR15310574	6433181.0	raven	0.9829261681717507	-1.7073831828249293	26.55	2530.41	38337.0	260541646.0	6796.1	5653.0	10.38
GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	PRJNA231221	SAMN22091668	FDAARGOS_1571	Illumina;PacBio	1	2333188	3393.6	PACBIO_SMRT	99.58	1.17	100.0	2021-11-03	RANDOM	GENOMIC	WGS	SRR17126946	2991960.0	lrge-ava	1.282348443417333	28.234844341733282	80.04	3071.02	98475.0	1000005961.0	10154.9	10047.0	0.0
GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	PRJNA231221	SAMN22091668	FDAARGOS_1571	Illumina;PacBio	1	2333188	3393.6	PACBIO_SMRT	99.58	1.17	100.0	2021-11-03	RANDOM	GENOMIC	WGS	SRR17126946	2970992.0	lrge-2set	1.273361597950958	27.33615979509581	21.77	1279.5	98475.0	1000005961.0	10154.9	10047.0	0.0
GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	PRJNA231221	SAMN22091668	FDAARGOS_1571	Illumina;PacBio	1	2333188	3393.6	PACBIO_SMRT	99.58	1.17	100.0	2021-11-03	RANDOM	GENOMIC	WGS	SRR17126946	4142810.0	mash	1.7756005945513178	77.56005945513178	104.03	2886.02	98475.0	1000005961.0	10154.9	10047.0	0.0
