GCF_033096525.1	[Ruminococcus] torques	33039	PRJDB15994	SAMD00622272	ASM3309652v1	92.2	6.382979	
GCF_013267415.1	Abiotrophia defectiva	46125	PRJNA231221	SAMN11056500	ASM1326741v1	94.82	92.85714	1.1
GCF_037041345.1	Abiotrophia defectiva ATCC 49176	592010	PRJNA1080312	SAMN40125968	ASM3704134v1	95.33	100	1.27
GCF_022807975.1	Abyssalbus ytuae	2926907	PRJNA818105	SAMN26816356	ASM2280797v1	99.68	100	0.65
GCF_020447305.1	Abyssibius alkaniclasticus	2881234	PRJNA768660	SAMN22060400	ASM2044730v2	98.18	100	0.1
GCF_001989575.1	Abyssicoccus albus	1817405	PRJNA359636	SAMN06196447	ASM198957v1	94.78	100	0.75
GCF_024347835.1	Acaryochloris marina MBIC10699	2954813	PRJDB13468	SAMD00467986	ASM2434783v1	99.73	100	4.21
GCF_018336915.1	Acaryochloris marina S15	2762553	PRJNA649288	SAMN15662376	ASM1833691v1	98.91	33.333332	2.85
GCF_021497025.1	Acaryochloris sp. 'Moss Beach'	2740837	PRJNA635629	SAMN15047745	ASM2149702v1	92.93	100	2.85
GCF_017357865.1	Aceticella autotrophica	2755338	PRJNA647162	SAMN15577649	ASM1735786v1	97.55	100	2.5
GCF_004359375.1	Acetilactobacillus jinshanensis	1720083	PRJNA511912	SAMN10651137	ASM435937v1	91.98	100	1.33
GCF_002844395.1	Acetivibrio saccincola	1677857	PRJNA398183	SAMN07503206	ASM284439v1	98.14	100	0.62
GCF_004803955.2	Acetivibrio thermocellus	1515	PRJNA513893	SAMN10716002	ASM480395v2	97.06	25	3.06
GCF_025213355.1	Acetivibrio thermocellus	1515	PRJNA877094	SAMN30684646	ASM2521335v1	97.77	41.666668	1.45
GCF_000255615.2	Acetivibrio thermocellus AD2	1138384	PRJNA82183	SAMN02470739	ASM25561v3	98.11	50	1.38
GCF_001692755.1	Acetivibrio thermocellus DSM 2360	572545	PRJNA324615	SAMN05210905	ASM169275v1	98.55	83.333336	1.38
GCF_002005445.1	Acetobacter aceti	435	PRJNA311264	SAMN04396917	ASM200544v1	97.67	12.5	2.11
GCF_014218315.1	Acetobacter aceti	435	PRJDB10254	SAMD00237440	ASM1421831v1	98.31	25	2.38
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	ASM19349v2	99.8	100	0.63
GCF_002173775.1	Acetobacter ascendens	481146	PRJNA386748	SAMN07125917	ASM217377v1	98.54	100	1.36
GCF_001766235.1	Acetobacter ascendens	481146	PRJNA317327	SAMN04605654	ASM176623v1	95.75	66.666664	1.38
GCF_001766255.1	Acetobacter ascendens	481146	PRJNA317328	SAMN04605655	ASM176625v1	95.7	33.333332	1.92
GCF_002220195.1	Acetobacter oryzifermentans	1633874	PRJNA384998	SAMN06855882	ASM222019v1	97.55	33.333332	1.99
GCF_004014775.2	Acetobacter oryzoeni	2500548	PRJNA512941	SAMN10691009	ASM401477v2	97.81	50	1.49
GCF_009914215.2	Acetobacter pasteurianus	438	PRJNA540194	SAMN11523864	ASM991421v2	94.12	57.575756	6.21
GCF_002173735.1	Acetobacter pasteurianus subsp. pasteurianus	481145	PRJNA386747	SAMN07125916	ASM217373v1	87.04	24.242424	6.2
GCF_002202135.1	Acetobacter pasteurianus subsp. pasteurianus	481145	PRJNA389952	SAMN07211335	ASM220213v1	94.16	60.60606	5.66
GCF_002006565.1	Acetobacter persici	1076596	PRJNA311264	SAMN04396916	ASM200656v1	88.57	20	6.08
GCF_002456135.1	Acetobacter pomorum	65959	PRJNA397225	SAMN07682859	ASM245613v1	97.79	88.888885	2.06
GCF_003391275.1	Acetobacter pomorum	65959	PRJNA397945	SAMN07498095	ASM339127v1	97.92	100	2.17
GCF_040208445.1	Acetobacter sp. A11-2	3157859	PRJNA1114941	SAMN41503781	A11-2.1	96.15	100	1.06
GCF_040208455.1	Acetobacter sp. GHA7	3157860	PRJNA1114941	SAMN41551026	GHA7.1	98.18	100	0.64
GCF_003323795.1	Acetobacter sp. JWB	2259883	PRJNA480182	SAMN09531910	ASM332379v1	96.53	100	1.77
GCF_002549835.1	Acetobacter tropicalis	104102	PRJNA397225	SAMN07452474	ASM254983v1	98.05	100	4.5
GCF_008365315.1	Acetobacter vaccinii	2592655	PRJNA552187	SAMN12179541	ASM836531v1	92.06	100	3.28
GCF_023700225.1	Acetobacterium wieringae	52694	PRJNA842251	SAMN28656641	ASM2370022v1	98.57	75	1.43
GCF_025813735.1	Acetobacterium wieringae	52694	PRJNA778957	SAMN23007773	ASM2581373v1	98.57	75	0.71
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	ASM2588451v1	99.18	100	0.33
GCF_030845255.1	Achromobacter aegrifaciens	1287736	PRJNA998777	SAMN36908431	ASM3084525v1	98.56	81.818184	2.34
GCF_013116765.2	Achromobacter deleyi	1353891	PRJNA630109	SAMN14825907	ASM1311676v2	98.31	75	2.06
GCF_016127315.1	Achromobacter deleyi	1353891	PRJNA231221	SAMN16357219	ASM1612731v1	99.44	100	1.85
GCF_021432025.1	Achromobacter deleyi	1353891	PRJNA792895	SAMN24471058	ASM2143202v1	97.88	62.5	2.06
GCF_013267395.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056501	ASM1326739v1	97.48	66.666664	4.02
GCF_002205315.1	Achromobacter denitrificans	32002	PRJNA383898	SAMN06819206	ASM220531v1	97.83	95.833336	3.43
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	97.52	75	4.02
GCF_013343095.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056502	ASM1334309v1	97.59	83.333336	2.99
GCF_029543025.1	Achromobacter denitrificans	32002	PRJNA516529	SAMN10822582	ASM2954302v1	94.71	29.166666	3.28
GCF_000783435.2	Achromobacter insolitus	217204	PRJNA231221	SAMN02934544	ASM78343v2	98.79	74.07407	1.7
GCF_001971645.1	Achromobacter insolitus	217204	PRJNA358463	SAMN06174288	ASM197164v1	95.16	14.814815	1.8
GCF_008245125.1	Achromobacter insolitus	217204	PRJNA527706	SAMN11158136	ASM824512v1	98.79	74.07407	1.36
GCF_029866465.1	Achromobacter mucicolens	1389922	PRJNA956709	SAMN34229298	ASM2986646v1	97.84	90.47619	1.1
GCF_027941855.1	Achromobacter mucicolens	1389922	PRJNA921913	SAMN32638594	ASM2794185v1	97.06	28.571428	2.1
GCF_013267355.1	Achromobacter pestifer	1353889	PRJNA231221	SAMN11056505	ASM1326735v1	98.23	50	1.57
GCF_030864005.1	Achromobacter seleniivolatilans	3047478	PRJNA1004897	SAMN36965621	ASM3086400v1	97.41	100	2.08
GCF_020541125.1	Achromobacter sp. 77	2756133	PRJNA646886	SAMN15567587	ASM2054112v1	97.37	100	1.9
GCF_002902905.1	Achromobacter sp. AONIH1	1758194	PRJNA430813	SAMN04287051	ASM290290v1	94.95	100	4.16
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	ASM360068v1	97.56	100	1.42
GCF_037039475.1	Achromobacter sp. E1	3141581	PRJNA1078573	SAMN40006910	ASM3703947v1	97.6	100	1.91
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ASM1944835v1	97.61	100	1.44
GCF_040084795.1	Achromobacter sp. HNDS-1	3151598	PRJNA1111694	SAMN41399017	ASM4008479v1	99.33	100	0.75
GCF_041879325.1	Achromobacter sp. JD417	2893881	PRJNA779206	SAMN23014894	ASM4187932v1	97.84	100	2.32
GCF_029495675.1	Achromobacter sp. SS2-2022	2980498	PRJNA878475	SAMN30727322	ASM2949567v1	96.88	100	2.04
GCF_002812705.1	Achromobacter spanius	217203	PRJNA419110	SAMN08043154	ASM281270v1	97.52	50	1.97
GCF_003994415.1	Achromobacter spanius	217203	PRJNA511771	SAMN10643443	ASM399441v1	96.95	21.428572	3.09
GCF_026692605.1	Achromobacter spanius	217203	PRJNA883754	SAMN30996405	ASM2669260v1	95.88	7.142857	2.07
GCF_029637605.1	Achromobacter spanius	217203	PRJNA950410	SAMN33988812	ASM2963760v1	96.66	14.285714	2.07
GCF_037619525.1	Achromobacter veterisilvae	2069367	PRJNA1085646	SAMN40310765	ASM3761952v1	96.78	66.666664	3.11
GCF_016728825.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN16357260	ASM1672882v1	95.68	94.21965	6.98
GCF_001558755.2	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996290	ASM155875v2	96.2	98.84393	3.47
GCF_001559195.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996294	ASM155919v2	91.35	10.982659	2.91
GCF_008432465.1	Achromobacter xylosoxidans	85698	PRJNA563576	SAMN12683688	ASM843246v1	94.84	70.52023	3.26
GCF_013282235.1	Achromobacter xylosoxidans	85698	PRJNA604252	SAMN13961776	ASM1328223v1	93.65	26.01156	3.3
GCF_013282255.1	Achromobacter xylosoxidans	85698	PRJNA604252	SAMN13961775	ASM1328225v1	94.09	40.46243	4.71
GCF_013343135.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN11056504	ASM1334313v1	94.53	57.803467	6.27
GCF_014490035.1	Achromobacter xylosoxidans	85698	PRJNA659873	SAMN15929548	ASM1449003v1	93.89	34.68208	2.53
GCF_016027035.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN13450445	ASM1602703v1	94.45	53.17919	6.27
GCF_022870085.1	Achromobacter xylosoxidans	85698	PRJNA605254	SAMN14078804	ASM2287008v1	94.51	55.49133	6.19
GCF_025426095.1	Achromobacter xylosoxidans	85698	PRJNA812595	SAMN30715403	ASM2542609v1	94.83	69.9422	5.32
GCF_032703345.1	Achromobacter xylosoxidans	85698	PRJNA940286	SAMN33560443	ASM3270334v1	94.25	45.66474	8.12
GCF_033096405.1	Achromobacter xylosoxidans	85698	PRJDB15726	SAMD00597894	ASM3309640v1	94.4	51.445087	9.46
GCF_040438975.1	Achromobacter xylosoxidans	85698	PRJNA1097799	SAMN40890074	ASM4043897v1	94.28	47.398846	5.74
GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	PRJNA231221	SAMN22091668	ASM2073564v1	99.58	100	1.17
GCF_025144545.1	Acidaminococcus intestini	187327	PRJNA746600	SAMN20222632	ASM2514454v1	96.72	96.61017	0.32
GCF_003352165.1	Acidibrevibacterium fodinaquatile	1969806	PRJNA454169	SAMN09005679	ASM335216v1	98.96	100	0.95
GCF_003184265.1	Acidiferrobacter sp. SPIII_3	1281578	PRJNA433900	SAMN08523059	ASM318426v1	96.44	100	3.09
GCF_001705075.2	Acidiferrobacter thiooxydans	163359	PRJNA324464	SAMN05526184	ASM170507v2	98.13	100	1.97
GCF_001753245.1	Acidihalobacter yilgarnensis	2819280	PRJNA344521	SAMN05828143	ASM175324v1	90.32	100	5.42
GCF_004103715.1	Acidilutibacter cellobiosedens	2507161	PRJNA515184	SAMN10743633	ASM410371v1	98.99	100	
GCF_022558965.1	Acidiphilium multivorum	62140	PRJNA543372	SAMN11664870	ASM2255896v1	98.52	75	5.25
GCF_001441165.1	Acidipropionibacterium acidipropionici	1748	PRJNA300904	SAMN04230714	ASM144116v1	96.52	100	0.44
GCF_001602115.1	Acidipropionibacterium acidipropionici	1748	PRJNA310791	SAMN04455717	ASM160211v1	89.49	36.363636	3.71
GCF_001855335.1	Acidipropionibacterium acidipropionici	1748	PRJNA322112	SAMN05017605	ASM185533v1	89.01	18.181818	2.52
GCF_001975205.1	Acidipropionibacterium acidipropionici	1748	PRJNA301197	SAMN04230715	ASM197520v1	96.52	100	0.49
GCF_003956085.1	Acidipropionibacterium acidipropionici	1748	PRJNA481392	SAMN09667102	ASM395608v1	89.03	27.272728	2.79
GCF_005890155.1	Acidipropionibacterium acidipropionici	1748	PRJNA543085	SAMN11653933	ASM589015v1	89.59	45.454544	1.7
GCF_005890135.1	Acidipropionibacterium jensenii	1749	PRJNA543085	SAMN11653934	ASM589013v1	95.92	93.75	
GCF_004011055.1	Acidipropionibacterium jensenii	1749	PRJNA427674	SAMN08242443	ASM401105v1	95.92	93.75	
GCF_004011075.1	Acidipropionibacterium jensenii	1749	PRJNA427674	SAMN08242442	ASM401107v1	95.92	93.75	
GCF_003325455.1	Acidipropionibacterium virtanenii	2057246	PRJNA420916	SAMN08125534	ASM332545v1	98.3	100	
GCF_003330725.1	Acidisarcina polymorpha	2211140	PRJNA476855	SAMN09460743	ASM333072v1	98.86	100	1.68
GCF_001650235.3	Acidithiobacillus caldus	33059	PRJNA318365	SAMN04849265	ASM165023v3	93.23	47.61905	3.04
GCF_003966655.1	Acidithiobacillus ferridurans	1232575	PRJDB7175	SAMD00129984	ASM396665v1	97.62	42.857143	3.2
GCF_028215975.1	Acidithiobacillus ferriphilus	1689834	PRJNA925670	SAMN32803239	ASM2821597v1	97	38.095238	2.48
GCF_020844025.1	Acidithiobacillus ferriphilus	1689834	PRJNA751914	SAMN20559762	ASM2084402v1	97.16	42.857143	2.07
GCF_016250455.1	Acidithiobacillus ferrivorans	160808	PRJNA648684	SAMN15644336	ASM1625045v1	98.13	42.857143	2.36
GCF_013462805.1	Acidithiobacillus ferrooxidans	920	PRJNA543563	SAMN11772250	ASM1346280v1	96.14	83.333336	9.19
GCF_019856615.1	Acidithiobacillus ferrooxidans	920	PRJNA758158	SAMN21013934	ASM1985661v1	96.14	83.333336	9.58
GCF_020887015.1	Acidithiobacillus ferrooxidans	920	PRJDB12184	SAMD00400416	ASM2088701v1	96.14	83.333336	9.21
GCF_008926505.1	Acidithiobacillus sp. 'AMD consortium'	2614801	PRJNA573091	SAMN12799170	ASM892650v1	98.79	100	3.21
GCF_030996345.1	Acidithiobacillus sp. AMEEHan	2994951	PRJNA901630	SAMN31721705	ASM3099634v1	92.66	100	5.51
GCF_009662475.1	Acidithiobacillus thiooxidans ATCC 19377	637390	PRJNA577769	SAMN13037501	ASM966247v1	96.29	97.05882	3.66
GCF_027626035.1	Acidocella sp. MX-AZ03	2697363	PRJNA600222	SAMN13808811	ASM2762603v1	70.98	100	1.01
GCF_002157165.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755631	ASM215716v1	99.61	100	0.7
GCF_002157125.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755634	ASM215712v1	97.37	75	0.96
GCF_002157145.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755632	ASM215714v1	90.16	50	0.85
GCF_002157185.1	Acidovorax carolinensis	553814	PRJNA285679	SAMN03755633	ASM215718v1	86.35	25	1.06
GCF_020510705.1	Acidovorax radicis	758826	PRJNA727717	SAMN19030609	ASM2051070v1	99.35	100	1.9
GCF_003669015.1	Acidovorax sp. 1608163	2478662	PRJNA495607	SAMN10228555	ASM366901v1	94.4	100	1.28
GCF_041154505.1	Acidovorax sp. A79	3056107	PRJDB16018	SAMD00623157	ASM4115450v1	99.13	100	3.62
GCF_037101375.1	Acidovorax sp. DW039	3095606	PRJDB17029	SAMD00659498	ASM3710137v1	98.71	100	1.43
GCF_038958875.1	Acidovorax sp. FHTAMBA	3140252	PRJNA1101079	SAMN40984376	ASM3895887v1	99.65	100	0.39
GCF_028473645.1	Acidovorax sp. GBBC 1281	2940492	PRJNA834920	SAMN28084394	ASM2847364v1	98.64	100	2.56
GCF_028473465.1	Acidovorax sp. GBBC 712	2940491	PRJNA834920	SAMN28084393	ASM2847346v1	99.25	100	1.07
GCF_011303755.1	Acidovorax sp. HDW3	2714923	PRJNA609829	SAMN14260602	ASM1130375v1	90.3	100	1.97
GCF_028473605.1	Acidovorax sp. NCPPB 3576	2940488	PRJNA834920	SAMN28084390	ASM2847360v1	98.88	100	2.46
GCF_028473585.1	Acidovorax sp. NCPPB 3859	2940489	PRJNA834920	SAMN28084391	ASM2847358v1	99.25	100	1.07
GCF_001714725.1	Acidovorax sp. RAC01	1842533	PRJNA319830	SAMN04909706	ASM171472v1	98.94	100	0.95
GCF_002176815.1	Acidovorax sp. T1	1858609	PRJNA388301	SAMN07174971	ASM217681v1	97.82	100	1.67
GCF_028596105.1	Acidovorax temperans	80878	PRJNA930884	SAMN33025486	ASM2859610v1	98.72	70	0.45
GCF_030762805.1	Aciduricibacillus chroicocephali	3054939	PRJNA983115	SAMN35722534	ASM3076280v1	96.98	100	0.66
GCF_009035845.1	Acinetobacter baumannii	470	PRJNA557095	SAMN12389466	ASM903584v1	99.52	39.490444	0.06
GCF_000746605.1	Acinetobacter baumannii	470	PRJNA256158	SAMN02940901	ASM74660v1	99.78	62.767807	0.82
GCF_000746645.1	Acinetobacter baumannii	470	PRJNA256157	SAMN02940899	ASM74664v1	99.57	42.749607	0.98
GCF_000794125.2	Acinetobacter baumannii	470	PRJNA263680	SAMN03105183	ASM79412v2	99.61	51.617172	0.25
GCF_000814345.1	Acinetobacter baumannii	470	PRJNA270223	SAMN03263969	ASM81434v1	97.93	5.385061	0.84
GCF_000828935.1	Acinetobacter baumannii	470	PRJDB3154	SAMD00020223	ASM82893v1	99.86	79.84118	0.84
GCF_000830055.1	Acinetobacter baumannii	470	PRJNA269083	SAMN03248539	ASM83005v1	99.61	51.617172	0.25
GCF_000963815.1	Acinetobacter baumannii	470	PRJNA243297	SAMN02894434	ASM96381v1	99.57	42.749607	0.17
GCF_001026965.1	Acinetobacter baumannii	470	PRJNA273343	SAMN03290686	ASM102696v1	99.61	51.617172	0.17
GCF_001077555.2	Acinetobacter baumannii	470	PRJNA286787	SAMN03770534	ASM107755v2	98.59	9.438333	0.79
GCF_001077655.1	Acinetobacter baumannii	470	PRJNA288605	SAMN03817045	ASM107765v1	99.54	41.10348	0.36
GCF_001077675.1	Acinetobacter baumannii	470	PRJNA288605	SAMN03817043	ASM107767v1	98.45	8.032095	0.67
GCF_001077965.2	Acinetobacter baumannii	470	PRJNA286871	SAMN03771402	ASM107796v2	99.15	19.596327	1.58
GCF_001399655.1	Acinetobacter baumannii	470	PRJNA294725	SAMN04029125	ASM139965v1	98.94	14.202994	0.6
GCF_001514375.1	Acinetobacter baumannii	470	PRJNA291316	SAMN03941550	ASM151437v1	99.19	21.416164	0.17
GCF_001543995.1	Acinetobacter baumannii	470	PRJNA309091	SAMN04448797	ASM154399v1	99.26	23.310448	0.5
GCF_001573065.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890258	ASM157306v1	99.13	19.27372	0.19
GCF_001573085.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890257	ASM157308v1	99.14	19.40607	0.17
GCF_001573105.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890255	ASM157310v1	99.53	39.76342	0.34
GCF_001573125.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890253	ASM157312v1	99.58	43.196293	0.17
GCF_001578145.1	Acinetobacter baumannii	470	PRJNA290306	SAMN03890256	ASM157814v1	98.76	10.902473	0.25
GCF_001636235.1	Acinetobacter baumannii	470	PRJNA311558	SAMN04485290	ASM163623v1	99	14.757217	0.66
GCF_001668465.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238697	ASM166846v2	99.94	98.80884	0.17
GCF_001669145.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238672	ASM166914v2	99.39	28.860949	0.17
GCF_001674475.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238628	ASM167447v2	99.58	43.196293	0.17
GCF_001674505.2	Acinetobacter baumannii	470	PRJNA271775	SAMN05238571	ASM167450v2	99.61	51.617172	0.17
GCF_001721705.1	Acinetobacter baumannii	470	PRJNA294251	SAMN04018777	ASM172170v1	99.79	63.82662	0.08
GCF_001806345.1	Acinetobacter baumannii	470	PRJNA339667	SAMN05601665	ASM180634v1	98.35	7.2876167	0.25
GCF_001806365.1	Acinetobacter baumannii	470	PRJNA339683	SAMN05601667	ASM180636v1	99.73	56.936058	0.17
GCF_001806385.1	Acinetobacter baumannii	470	PRJNA339684	SAMN05601668	ASM180638v1	98.85	12.548598	0.25
GCF_001806405.1	Acinetobacter baumannii	470	PRJNA339686	SAMN05601669	ASM180640v1	99.28	25.85822	0.38
GCF_001806445.1	Acinetobacter baumannii	470	PRJNA339689	SAMN05601671	ASM180644v1	99.43	30.540161	0.17
GCF_001806465.1	Acinetobacter baumannii	470	PRJNA339690	SAMN05601672	ASM180646v1	99.1	18.529242	0.17
GCF_001806485.1	Acinetobacter baumannii	470	PRJNA339692	SAMN05601673	ASM180648v1	98.58	9.355613	0.17
GCF_001887305.1	Acinetobacter baumannii	470	PRJNA348168	SAMN06046790	ASM188730v1	99.58	43.196293	0.25
GCF_001895125.2	Acinetobacter baumannii	470	PRJDB5156	SAMD00059694	ASM189512v2	99.86	79.84118	0.83
GCF_001895985.1	Acinetobacter baumannii	470	PRJNA271775	SAMN06077192	ASM189598v1	99.16	20.324263	0.17
GCF_001896005.1	Acinetobacter baumannii	470	PRJNA271775	SAMN06077191	ASM189600v1	99.36	27.793861	1.32
GCF_001902375.1	Acinetobacter baumannii	470	PRJNA356204	SAMN06109232	ASM190237v1	98.55	9.107453	0.17
GCF_001908295.1	Acinetobacter baumannii	470	PRJNA328023	SAMN05362953	ASM190829v1	98.48	8.387791	0.34
GCF_001922205.1	Acinetobacter baumannii	470	PRJNA296424	SAMN04096368	ASM192220v1	99.72	56.671352	0.17
GCF_001922225.1	Acinetobacter baumannii	470	PRJNA296424	SAMN04096369	ASM192222v1	99.94	98.80884	0.17
GCF_001922245.1	Acinetobacter baumannii	470	PRJNA296424	SAMN04096370	ASM192224v1	99.94	98.80884	0.62
