Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_019597925.1	[Clostridium] scindens	29347	PRJNA750754	SAMN20488193	ASM1959792v1	Q4	Q4	Illumina; PacBio	1	3941835	530.0x		99.38	100		2021-08-13
GCF_020892115.1	[Clostridium] scindens	29347	PRJDB10323	SAMD00239677	ASM2089211v1	G10	G10	Illumina MiSeq; Oxford Nanopore MinION	1	3315593	250.0x	Clostridium scindens G10 = AHU 2205 Genome sequencing and assembly	98.75	40.74074	0.07	2021-11-03
GCF_022845815.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389867	ASM2284581v1	CE91-St59	CE91-St59	Illumina MiSeq; PacBio Sequel	1	3608085	190.0x	Isolate bacteria and archaea from a Japanese centenarian	99.38	100	0.07	2022-02-04
GCF_022845835.1	[Clostridium] scindens	29347	PRJDB11902	SAMD00389868	ASM2284583v1	CE91-St60	CE91-St60	Illumina MiSeq; PacBio Sequel	1	3608087	615.0x	Isolate bacteria and archaea from a Japanese centenarian	99.38	100	0.07	2022-02-04
GCF_027941655.1	[Clostridium] scindens	29347	PRJNA902789	SAMN31775693	ASM2794165v1	VPI12708	VPI12708	PacBio Sequel	1	3983052	50.0x		99.38	100		2023-01-23
GCF_033539415.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482748	ASM3353941v1	JCM10420 (M-18)	JCM10420 (M-18)	Pacbio, Illumina	1	4020045	50.0x		98.75	40.74074		2023-11-11
GCF_033539435.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482747	ASM3353943v1	JCM10419 (Y1113)	JCM10419 (Y1113)	Pacbio, Illumina	1	3940699	50.0x		98.75	40.74074		2023-11-11
GCF_033539455.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482752	ASM3353945v1	MO32	MO32	Oxford Nanopore, Illumina	1	3929075	50.0x		99.38	100		2023-11-11
GCF_033539475.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482754	ASM3353947v1	S076	S076	Oxford Nanopore, Illumina	1	4290604	50.0x		99.38	100		2023-11-11
GCF_033539495.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482751	ASM3353949v1	I10	I10	Oxford Nanopore, Illumina	1	3435295	50.0x		99.38	100	0.07	2023-11-11
GCF_033539515.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482750	ASM3353951v1	JCM10423 (36-S)	JCM10423 (36-S)	Pacbio, Illumina	1	4306053	50.0x		98.75	40.74074		2023-11-11
GCF_033539535.1	[Clostridium] scindens	29347	PRJNA1026650	SAMN37482753	ASM3353953v1	NTI82	NTI82	Oxford Nanopore, Illumina	1	4318168	50.0x		98.75	40.74074		2023-11-11
GCF_036419135.1	[Clostridium] scindens	29347	PRJNA1066865	SAMN22167568	ASM3641913v1	SL.1.22	SL.1.22	Oxford Nanopore MinION + Illumina NextSeq	1	3992152	100.0x		99.38	100		2024-02-06
GCF_004295125.1	[Clostridium] scindens ATCC 35704	411468	PRJNA508260	SAMN10519000	ASM429512v1	ATCC 35704	ATCC 35704	PacBio RSII	1	3658040	300.0x		99.38	100	1.32	2019-02-25
GCF_040267475.1	[Clostridium] symbiosum	1512	PRJNA936716	SAMN33749591	UoG_LM19R_1.0	LM19R	LM19R	Illumina; Oxford Nanopore	1	5299950	63.6x		94.76	70.454544	4.24	2024-06-23
GCF_001461805.1	[Enterobacter] lignolyticus	1334193	PRJNA297567	SAMN04074888	ASM146180v1	G5		PacBio RSII	1	4702949	99.6x		100	100		2015-12-07
GCF_001647695.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632440	ASM164769v1	VAN2	VAN2	PacBio	1	1589620	79.0x		96.34	74.19355	0.61	2016-05-19
GCF_001647655.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632439	ASM164765v1	VAN1	VAN1	PacBio	1	1667451			94.09	22.580645	0.41	2016-05-19
GCF_001647735.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632441	ASM164773v1	VAN3	VAN3	PacBio	1	1667096	71.0x		94.18	25.806452	0.41	2016-05-19
GCF_001647765.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632442	ASM164776v1	VAN4	VAN4	PacBio	1	1673048	74.0x		94.96	32.258064	0.41	2016-05-19
GCF_001647795.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632443	ASM164779v1	VAN5	VAN5	PacBio	1	1667484	77.0x		95	38.70968	0.41	2016-05-19
GCF_001647815.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632444	ASM164781v1	GHA1	GHA1	PacBio	1	1622156	74.0x		96.75	93.548386	0.59	2016-05-19
GCF_001647835.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632445	ASM164783v1	GHA2	GHA2	PacBio	1	1634243	187.0x		95.25	51.612904	0.59	2016-05-19
GCF_001647855.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632446	ASM164785v1	GHA3	GHA3	PacBio	1	1738543	132.0x		95.13	45.16129	1.19	2016-05-19
GCF_001647875.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632447	ASM164787v1	GHA5	GHA5	PacBio	1	1738559	257.0x		95.3	54.83871	1.19	2016-05-19
GCF_001647895.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632448	ASM164789v1	GHA8	GHA8	PacBio	1	1769925	58.0x		95.22	48.387096	0.54	2016-05-19
GCF_001647915.1	[Haemophilus] ducreyi	730	PRJNA318024	SAMN04632449	ASM164791v1	GHA9	GHA9	PacBio	1	1775503	223.0x		95.05	41.935482	1.33	2016-05-19
GCF_002208665.2	[Haemophilus] ducreyi	730	PRJNA231221	SAMN06173310	ASM220866v2	FDAARGOS_297	FDAARGOS_297	PacBio; Illumina	1	1701311	13.1x		96.39	80.645164	1	2018-03-02
GCF_036240075.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016478	ASM3624007v1	NBC_01269	NBC_01269	Oxford Nanopore MinION and Illumina	2	7532608	102.0x		99.91	98.79518	0.09	2024-01-26
GCF_035940175.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016529	ASM3594017v1	NBC_01344	NBC_01344	Oxford Nanopore MinION and Illumina	1	7648620	115.0x		99.91	98.79518	0.09	2024-01-22
GCF_035980495.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016496	ASM3598049v1	NBC_01295	NBC_01295	Oxford Nanopore MinION and Illumina	1	7559771	15.0x		99.91	98.79518	0.57	2024-01-22
GCF_036237255.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016536	ASM3623725v1	NBC_01355	NBC_01355	Oxford Nanopore MinION and Illumina	1	7734989	29.0x		99.81	26.506023	0.09	2024-01-26
GCF_036237335.1	[Kitasatospora] papulosa	1464011	PRJNA747871	SAMN24016532	ASM3623733v1	NBC_01347	NBC_01347	Oxford Nanopore MinION and Illumina	1	7680165	68.0x		99.91	98.79518	0.09	2024-01-26
GCF_004355245.1	[Mycobacterium] chelonae subsp. chelonae	2099321	PRJNA508902	SAMN10532726	ASM435524v1	DSM 43804	DSM 43804	PacBio	1	5030282	100.0x		98.7	69.565216	0.03	2019-03-19
GCF_002356335.1	[Mycobacterium] stephanolepidis	1520670	PRJDB5828	SAMD00081530	ASM235633v1	NJB0901	missing	Illumina; PacBio	1	4994485	37.0x	Complete Genome Sequence of Mycobacterium stephanolepidis.	98.86	100	0.38	2017-06-17
GCF_037482225.1	[Mycoplasma] gypis	92404	PRJNA1088753	SAMN40497087	ASM3748222v1	B1/T1	B1/T1	Illumina MiniSeq; Oxford Nanopore MinION	1	833262	1230.0x		96.39	100		2024-04-05
GCF_022647505.1	[Pantoea] beijingensis	1324864	PRJNA705825	SAMN18103994	ASM2264750v1	JZB2120001	JZB2120001	Oxford Nanopore PromethION	1	4107390	238.0x		89.55	66.666664	2.94	2022-03-21
GCF_016446395.1	[Phormidium] sp. ETS-05	222819	PRJNA622676	SAMN14525496	ASM1644639v1	ETS-05	ETS-05	Illumina NextSeq; Oxford Nanopore MiniION	1	6286783	347.0x		93.76	100	0.72	2020-12-30
GCF_029030725.1	[Pseudomonas] carboxydohydrogena	290	PRJNA901395	SAMN31712193	ASM2903072v1	DSM 1083	DSM 1083	Oxford Nanopore GridION; Illumina MiSeq	1	3271440	426.6x		67.93	50	4.95	2023-03-08
GCF_025152405.1	[Ruminococcus] lactaris ATCC 29176	471875	PRJNA746600	SAMN20222711	ASM2515240v1	ATCC 29176	ATCC 29176	Illumina HiSeq; Oxford Nanopore	1	2733858	100.0x		98.75	92.30769	0.62	2022-09-12
GCF_033096525.1	[Ruminococcus] torques	33039	PRJDB15994	SAMD00622272	ASM3309652v1	17EGH124	17EGH124	Oxford Nanopore GridION (R10.4.1 flow cell)	1	2796037	150.0x		92.2	6.382979		2023-07-04
GCF_013267415.1	Abiotrophia defectiva	46125	PRJNA231221	SAMN11056500	ASM1326741v1	FDAARGOS_785	FDAARGOS_785	Pacbio; Illumina	1	2046826	1526.9x		94.82	92.85714	1.1	2020-06-04
GCF_037041345.1	Abiotrophia defectiva ATCC 49176	592010	PRJNA1080312	SAMN40125968	ASM3704134v1	ATCC 49176	ATCC 49176	PacBio	1	2045142	100.0x		95.33	100	1.27	2024-04-05
GCF_022807975.1	Abyssalbus ytuae	2926907	PRJNA818105	SAMN26816356	ASM2280797v1	MT3330	MT3330	Nanopore; Illumina PE150	1	4365036	1000.0x		99.68	100	0.65	2022-04-02
GCF_020447305.1	Abyssibius alkaniclasticus	2881234	PRJNA768660	SAMN22060400	ASM2044730v2	960558	960558	Illumina NovaSeq and Oxford Nanopore GridION	1	3208812			98.18	100	0.1	2022-04-21
GCF_001989575.1	Abyssicoccus albus	1817405	PRJNA359636	SAMN06196447	ASM198957v1	S31	S31	PacBio	1	1745789	629.0x		94.78	100	0.75	2017-02-07
GCF_024347835.1	Acaryochloris marina MBIC10699	2954813	PRJDB13468	SAMD00467986	ASM2434783v1	MBIC10699	MBIC10699	Miseq; GridION	5	7647728	110.0x		99.73	100	4.21	2022-07-08
GCF_018336915.1	Acaryochloris marina S15	2762553	PRJNA649288	SAMN15662376	ASM1833691v1	S15	S15	Illumina, PacBio	7	7112772	75.0x		98.91	33.333332	2.85	2021-05-11
GCF_021497025.1	Acaryochloris sp. 'Moss Beach'	2740837	PRJNA635629	SAMN15047745	ASM2149702v1	Moss Beach	Moss Beach	Illumina MiSeq; Oxford Nanopore MiniION	11	7254703	35.0x		92.93	100	2.85	2022-01-18
GCF_017357865.1	Aceticella autotrophica	2755338	PRJNA647162	SAMN15577649	ASM1735786v1	3443-3Ac	3443-3Ac	Illumina HiSeq; Oxford Nanopore	1	2267618	654.0x		97.55	100	2.5	2021-03-16
GCF_004359375.1	Acetilactobacillus jinshanensis	1720083	PRJNA511912	SAMN10651137	ASM435937v1	HSLZ-75	HSLZ-75	PacBio RS	1	1616430	100.0x		91.98	100	1.33	2019-03-21
GCF_002844395.1	Acetivibrio saccincola	1677857	PRJNA398183	SAMN07503206	ASM284439v1	GGR1	GGR1	Illumina; Oxford Nanopore	1	3604547	141.1x		98.14	100	0.62	2017-12-18
GCF_004803955.2	Acetivibrio thermocellus	1515	PRJNA513893	SAMN10716002	ASM480395v2	PAL5	PAL5	PacBio	1	3971483	341.0x		97.06	25	3.06	2024-08-03
GCF_025213355.1	Acetivibrio thermocellus	1515	PRJNA877094	SAMN30684646	ASM2521335v1	M3	M3	Illumina HiSeq; PacBio RSII	1	3602270	147.0x		97.77	41.666668	1.45	2022-09-15
GCF_000255615.2	Acetivibrio thermocellus AD2	1138384	PRJNA82183	SAMN02470739	ASM25561v3	AD2	AD2	Illumina MiSeq; PacBio	1	3554854	296.0x		98.11	50	1.38	2016-01-08
GCF_001692755.1	Acetivibrio thermocellus DSM 2360	572545	PRJNA324615	SAMN05210905	ASM169275v1	LQRI	LQRI	PacBio RS-II	1	3577579	166.0x		98.55	83.333336	1.38	2016-07-22
GCF_002005445.1	Acetobacter aceti	435	PRJNA311264	SAMN04396917	ASM200544v1	TMW2.1153	TMW2.1153	PacBio	1	3725037	96.0x		97.67	12.5	2.11	2017-02-22
GCF_014218315.1	Acetobacter aceti	435	PRJDB10254	SAMD00237440	ASM1421831v1	JCM20276	JCM20276	MinION; Illumina MiSeq	5	3967892	58.0x	Genome sequencing of Acetobacter aceti	98.31	25	2.38	2020-07-29
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	PRJDA52649	SAMD00036545	ASM19349v2	NBRC 14818	NBRC 14818	PacBio RSII; Illumina Genome Analyzer II	5	3693126	338.0x		99.8	100	0.63	2020-09-02
GCF_002173775.1	Acetobacter ascendens	481146	PRJNA386748	SAMN07125917	ASM217377v1	SRCM101447	SRCM101447	PacBio	4	3285832	336.0x		98.54	100	1.36	2017-06-06
GCF_001766235.1	Acetobacter ascendens	481146	PRJNA317327	SAMN04605654	ASM176623v1	LMG 1590	LMG 1590	PacBio	4	2999217	228.0x		95.75	66.666664	1.38	2016-10-14
GCF_001766255.1	Acetobacter ascendens	481146	PRJNA317328	SAMN04605655	ASM176625v1	LMG 1591	LMG 1591	PacBio	4	3216032	124.0x		95.7	33.333332	1.92	2016-10-14
GCF_002220195.1	Acetobacter oryzifermentans	1633874	PRJNA384998	SAMN06855882	ASM222019v1	dm	dm	PacBio	1	3127455	150.0x		97.55	33.333332	1.99	2017-07-17
GCF_004014775.2	Acetobacter oryzoeni	2500548	PRJNA512941	SAMN10691009	ASM401477v2	B6	B6	PacBio RSII; Illumina HiSeq	4	3153180	314.0x		97.81	50	1.49	2019-08-21
GCF_009914215.2	Acetobacter pasteurianus	438	PRJNA540194	SAMN11523864	ASM991421v2	CICC 22518	CICC 22518	PacBio	3	3403928	209.0x		94.12	57.575756	6.21	2023-07-11
GCF_002173735.1	Acetobacter pasteurianus subsp. pasteurianus	481145	PRJNA386747	SAMN07125916	ASM217373v1	SRCM101342	SRCM101342	PacBio	6	3287976	426.0x		87.04	24.242424	6.2	2017-06-06
GCF_002202135.1	Acetobacter pasteurianus subsp. pasteurianus	481145	PRJNA389952	SAMN07211335	ASM220213v1	SRCM101468	SRCM101468	PacBio	4	3408817	185.0x		94.16	60.60606	5.66	2017-06-20
GCF_002006565.1	Acetobacter persici	1076596	PRJNA311264	SAMN04396916	ASM200656v1	TMW2.1084	TMW2.1084	PacBio	2	3756676	172.0x		88.57	20	6.08	2017-02-24
GCF_002456135.1	Acetobacter pomorum	65959	PRJNA397225	SAMN07682859	ASM245613v1	BDGP5	BDGP5	PacBio	4	3007920	150.0x		97.79	88.888885	2.06	2017-10-05
GCF_003391275.1	Acetobacter pomorum	65959	PRJNA397945	SAMN07498095	ASM339127v1	SH	SH	PacBio	3	3153219	279.0x		97.92	100	2.17	2018-08-15
GCF_040208445.1	Acetobacter sp. A11-2	3157859	PRJNA1114941	SAMN41503781	A11-2.1	A11-2	A11-2	PacBio	1	2866042	191.1x		96.15	100	1.06	2024-06-20
GCF_040208455.1	Acetobacter sp. GHA7	3157860	PRJNA1114941	SAMN41551026	GHA7.1	GHA7	GHA7	PacBio	1	2927634	191.1x		98.18	100	0.64	2024-06-20
GCF_003323795.1	Acetobacter sp. JWB	2259883	PRJNA480182	SAMN09531910	ASM332379v1	JWB	JWB	PacBio	3	2941821	350.0x		96.53	100	1.77	2018-07-16
GCF_002549835.1	Acetobacter tropicalis	104102	PRJNA397225	SAMN07452474	ASM254983v1	BDGP1	BDGP1	PacBio	2	4139662	200.0x		98.05	100	4.5	2017-10-13
GCF_008365315.1	Acetobacter vaccinii	2592655	PRJNA552187	SAMN12179541	ASM836531v1	KACC 21233	KACC 21233	PacBio RSII; Illumina HiSeq	3	3082251	272.0x		92.06	100	3.28	2019-09-10
GCF_023700225.1	Acetobacterium wieringae	52694	PRJNA842251	SAMN28656641	ASM2370022v1	CH1	CH1	Oxford Nanopore	1	3711234	100.0x		98.57	75	1.43	2022-06-09
GCF_025813735.1	Acetobacterium wieringae	52694	PRJNA778957	SAMN23007773	ASM2581373v1	Y	Y	Illumina MiSeq; PacBio	1	4082090	580.0x		98.57	75	0.71	2022-10-24
GCF_025884515.1	Acholeplasma laidlawii	2148	PRJNA874543	SAMN30552787	ASM2588451v1	JS42	JS42	Oxford Nanopore	1	1611024	10.0x		99.18	100	0.33	2022-10-27
GCF_030845255.1	Achromobacter aegrifaciens	1287736	PRJNA998777	SAMN36908431	ASM3084525v1	L3024	L3024	Oxford Nanopore	1	6905297	311.0x		98.56	81.818184	2.34	2023-08-20
GCF_013116765.2	Achromobacter deleyi	1353891	PRJNA630109	SAMN14825907	ASM1311676v2	As-55	As-55	Oxford Nanopore	1	6470756	126.0x		98.31	75	2.06	2021-05-24
GCF_016127315.1	Achromobacter deleyi	1353891	PRJNA231221	SAMN16357219	ASM1612731v1	FDAARGOS_1050	FDAARGOS_1050	Pacbio; Illumina	1	6987272	475.6x		99.44	100	1.85	2020-12-20
GCF_021432025.1	Achromobacter deleyi	1353891	PRJNA792895	SAMN24471058	ASM2143202v1	SMAs-55	SMAs-55	Oxford Nanopore	1	6328020	859.0x		97.88	62.5	2.06	2022-01-11
GCF_013267395.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056501	ASM1326739v1	FDAARGOS_786	FDAARGOS_786	Pacbio; Illumina	1	6736870	620.2x		97.48	66.666664	4.02	2020-06-04
GCF_002205315.1	Achromobacter denitrificans	32002	PRJNA383898	SAMN06819206	ASM220531v1	PR1	PR1	Illumina MiSeq; Oxford Nanopore MinION	1	6929205	46.0x		97.83	95.833336	3.43	2017-06-22
GCF_013267375.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056503	ASM1326737v1	FDAARGOS_788	FDAARGOS_788	Pacbio; Illumina	1	6736877	2204.6x		97.52	75	4.02	2020-06-04
GCF_013343095.1	Achromobacter denitrificans	32002	PRJNA231221	SAMN11056502	ASM1334309v1	FDAARGOS_787	FDAARGOS_787	Pacbio; Illumina	1	6816538	579.5x		97.59	83.333336	2.99	2020-06-15
GCF_029543025.1	Achromobacter denitrificans	32002	PRJNA516529	SAMN10822582	ASM2954302v1	TB	TB	PacBio Sequel; Illumina HiSeq	1	6692590	100.0x		94.71	29.166666	3.28	2023-04-03
GCF_000783435.2	Achromobacter insolitus	217204	PRJNA231221	SAMN02934544	ASM78343v2	FDAARGOS_88	FDAARGOS_88	PacBio; Illumina	2	6893045	15.6x		98.79	74.07407	1.7	2018-02-21
GCF_001971645.1	Achromobacter insolitus	217204	PRJNA358463	SAMN06174288	ASM197164v1	DSM 23807	DSM 23807	PacBio	1	6492697	80.0x		95.16	14.814815	1.8	2017-01-26
GCF_008245125.1	Achromobacter insolitus	217204	PRJNA527706	SAMN11158136	ASM824512v1	LCu2	LCu2	Illumina MiSeq; Oxford Nanopore MiniION	1	6428890	80.0x		98.79	74.07407	1.36	2019-09-03
GCF_029866465.1	Achromobacter mucicolens	1389922	PRJNA956709	SAMN34229298	ASM2986646v1	Y3	Y3	PacBio; Illumina HiSeq	1	5682553	100.0x		97.84	90.47619	1.1	2023-04-25
GCF_027941855.1	Achromobacter mucicolens	1389922	PRJNA921913	SAMN32638594	ASM2794185v1	DMF-4		Illumina; Oxford Nanopore	1	5950138	200.0x		97.06	28.571428	2.1	2023-01-23
GCF_013267355.1	Achromobacter pestifer	1353889	PRJNA231221	SAMN11056505	ASM1326735v1	FDAARGOS_790	FDAARGOS_790	Pacbio; Illumina	2	7177303	671.9x		98.23	50	1.57	2020-06-04
GCF_030864005.1	Achromobacter seleniivolatilans	3047478	PRJNA1004897	SAMN36965621	ASM3086400v1	R39	R39	PacBio	2	6862680	294.0x		97.41	100	2.08	2023-08-23
GCF_020541125.1	Achromobacter sp. 77	2756133	PRJNA646886	SAMN15567587	ASM2054112v1	77	77	Illumina HiSeq; PacBio	1	5868070	400.0x		97.37	100	1.9	2021-10-21
GCF_002902905.1	Achromobacter sp. AONIH1	1758194	PRJNA430813	SAMN04287051	ASM290290v1	AONIH1	AONIH1	PacBio RSII	1	6648943	119.0x		94.95	100	4.16	2018-01-29
GCF_003600685.1	Achromobacter sp. B7	2282475	PRJNA481776	SAMN09690389	ASM360068v1	B7	B7	Illumina HiSeq/Oxford Nanopore	1	6236552	66.3x		97.56	100	1.42	2018-09-27
GCF_037039475.1	Achromobacter sp. E1	3141581	PRJNA1078573	SAMN40006910	ASM3703947v1			PacBio	1	5975307	100.0x		97.6	100	1.91	2024-04-05
GCF_019448355.1	Achromobacter sp. ES-001	2860286	PRJNA747281	SAMN20284516	ASM1944835v1	ES-001	ES-001	Illumina NextSeq; Oxford Nanopore MinION	1	6544928	567.0x		97.61	100	1.44	2021-08-04
GCF_040084795.1	Achromobacter sp. HNDS-1	3151598	PRJNA1111694	SAMN41399017	ASM4008479v1	HNDS-1	HNDS-1	Illumina HiSeq; PacBio RSII	1	6335989	204.0x		99.33	100	0.75	2024-06-07
GCF_041879325.1	Achromobacter sp. JD417	2893881	PRJNA779206	SAMN23014894	ASM4187932v1	JD417	JD417	PacBio	1	6225150	521.3x		97.84	100	2.32	2024-09-11
GCF_029495675.1	Achromobacter sp. SS2-2022	2980498	PRJNA878475	SAMN30727322	ASM2949567v1			PacBio Sequel	1	6474884	15.0x		96.88	100	2.04	2023-03-30
GCF_002812705.1	Achromobacter spanius	217203	PRJNA419110	SAMN08043154	ASM281270v1	DSM 23806	DSM 23806	PacBio	1	6425783	80.0x		97.52	50	1.97	2017-12-06
GCF_003994415.1	Achromobacter spanius	217203	PRJNA511771	SAMN10643443	ASM399441v1	UQ283	UQ283	PacBio RSII	1	6687823	113.0x		96.95	21.428572	3.09	2019-01-05
GCF_026692605.1	Achromobacter spanius	217203	PRJNA883754	SAMN30996405	ASM2669260v1	LIG3	LIG3	PacBio Sequel	1	6474878	15.0x		95.88	7.142857	2.07	2022-12-06
GCF_029637605.1	Achromobacter spanius	217203	PRJNA950410	SAMN33988812	ASM2963760v1	LIG8	LIG8	PacBio Sequel	1	6474880	15.0x		96.66	14.285714	2.07	2023-04-10
GCF_037619525.1	Achromobacter veterisilvae	2069367	PRJNA1085646	SAMN40310765	ASM3761952v1	AB1	AB1	Illumina; PacBio Sequel	1	6549044	118.0x		96.78	66.666664	3.11	2024-04-05
GCF_016728825.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN16357260	ASM1672882v1	FDAARGOS_1091	FDAARGOS_1091	Pacbio; Illumina	2	6901970	394.4x		95.68	94.21965	6.98	2021-01-20
GCF_001558755.2	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996290	ASM155875v2	FDAARGOS_147	FDAARGOS_147	PacBio; Illumina	2	6886958	281.6x		96.2	98.84393	3.47	2018-02-05
GCF_001559195.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN03996294	ASM155919v2	FDAARGOS_150	FDAARGOS_150	PacBio; Illumina	1	6268754	332.9x		91.35	10.982659	2.91	2018-02-05
GCF_008432465.1	Achromobacter xylosoxidans	85698	PRJNA563576	SAMN12683688	ASM843246v1	AX1	AX1	PacBio Sequel	1	6402982	200.0x		94.84	70.52023	3.26	2019-09-17
GCF_013282235.1	Achromobacter xylosoxidans	85698	PRJNA604252	SAMN13961776	ASM1328223v1	GN050	GN050	PacBio RSII	1	6452474	500.0x		93.65	26.01156	3.3	2020-06-05
GCF_013282255.1	Achromobacter xylosoxidans	85698	PRJNA604252	SAMN13961775	ASM1328225v1	GN008	GN008	PacBio RSII	1	6608203	500.0x		94.09	40.46243	4.71	2020-06-05
GCF_013343135.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN11056504	ASM1334313v1	FDAARGOS_789	FDAARGOS_789	Pacbio; Illumina	1	6806438	591.8x		94.53	57.803467	6.27	2020-06-15
GCF_014490035.1	Achromobacter xylosoxidans	85698	PRJNA659873	SAMN15929548	ASM1449003v1	GD03	GD03	PacBio	1	6761376	115.0x		93.89	34.68208	2.53	2020-09-07
GCF_016027035.1	Achromobacter xylosoxidans	85698	PRJNA231221	SAMN13450445	ASM1602703v1	FDAARGOS_915	FDAARGOS_915	Pacbio; Illumina	1	6812921	635.3x		94.45	53.17919	6.27	2020-12-14
GCF_022870085.1	Achromobacter xylosoxidans	85698	PRJNA605254	SAMN14078804	ASM2287008v1	PartM-Axylosoxidans-RM8376	PartM-Axylosoxidans-RM8376	Illumina; PacBio	1	6813185	570.0x		94.51	55.49133	6.19	2022-04-11
GCF_025426095.1	Achromobacter xylosoxidans	85698	PRJNA812595	SAMN30715403	ASM2542609v1	2021CK-01139	2021CK-01139	Illumina MiSeq; Oxford Nanopore GridION	1	6611782	362.0x		94.83	69.9422	5.32	2022-09-27
