accession	class	platform	truth_bp	pool_reads	split	target_reads_used	query_reads_used	target_per_query	seed	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	queries_without_overlaps_pct	elapsed	max_rss_kb	exit_status	run_dir
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	1to1	3736	3737	1.00	4556	509485	0.224	41350	2350000	0.0	0:19.00	1240692	0	split/SRR26715166/1to1/4556
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	2to1	4982	2491	2.00	7	495617	0.218	68850	2060000	0.04	0:12.88	1646036	0	split/SRR26715166/2to1/7
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	2to1	4982	2491	2.00	42	570421	0.251	65130	2540000	0.0	0:13.01	1665556	0	split/SRR26715166/2to1/42
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	2to1	4982	2491	2.00	4556	560208	0.247	64130	2380000	0.08	0:13.14	1776512	0	split/SRR26715166/2to1/4556
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	4to1	5978	1495	4.00	7	715313	0.315	234090	2220000	0.33	0:09.66	1908828	0	split/SRR26715166/4to1/7
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	4to1	5978	1495	4.00	42	875679	0.386	235000	2700000	0.13	0:09.11	1830760	0	split/SRR26715166/4to1/42
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	4to1	5978	1495	4.00	4556	946675	0.417	232480	2830000	0.40	0:09.15	1885456	0	split/SRR26715166/4to1/4556
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	8to1	6642	831	7.99	7	802509	0.353	263660	2060000	0.60	0:06.84	1919548	0	split/SRR26715166/8to1/7
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	8to1	6642	831	7.99	42	1088545	0.479	280290	2950000	0.24	0:06.22	1928680	0	split/SRR26715166/8to1/42
SRR26715166	outlier	OXFORD_NANOPORE	2271523	7473	8to1	6642	831	7.99	4556	1040876	0.458	280600	2810000	0.24	0:06.45	1972072	0	split/SRR26715166/8to1/4556
