accession	class	platform	truth_bp	mode	commit	estimate_bp	estimate_over_truth	interval_low_bp	interval_high_bp	normalization_engaged	skew_score	skew_score_source	detection_sample_reads	retained_reads	total_reads	queries_without_overlaps	elapsed	max_rss_kb	exit_status	run_dir
SRR10388020	outlier	OXFORD_NANOPORE	2218399	auto	254e1462cfa910f507313fe8b718fcab320e275d	2273770	1.025	719630	2590000	yes	205.00	run-log	1838	96688	182663	0	1:22.79	622304	0	SRR10388020/auto
SRR10388020	outlier	OXFORD_NANOPORE	2218399	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2521972	1.137	1330000	2830000	yes	205.00	run-log	1838	96688	182663	0	1:43.72	634008	0	SRR10388020/auto_F
SRR10861747	outlier	OXFORD_NANOPORE	2211092	auto	254e1462cfa910f507313fe8b718fcab320e275d	2144950	0.970	844080	2360000	yes	340.00	run-log	2065	74081	205462	0	1:58.27	1034268	0	SRR10861747/auto
SRR10861747	outlier	OXFORD_NANOPORE	2211092	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2335966	1.056	1850000	2530000	yes	340.00	run-log	2065	74081	205462	0	2:23.27	1077168	0	SRR10861747/auto_F
SRR10861751	outlier	OXFORD_NANOPORE	2220590	never	254e1462cfa910f507313fe8b718fcab320e275d	39754	0.018	26800	40100	no	NA	NA	NA	NA	NA	0	2:22.29	3066220	0	SRR10861751/never
SRR10861751	outlier	OXFORD_NANOPORE	2220590	auto	254e1462cfa910f507313fe8b718fcab320e275d	2077501	0.936	786760	2330000	yes	203.00	run-log	994	32443	98030	0	1:02.26	1108460	0	SRR10861751/auto
SRR10861751	outlier	OXFORD_NANOPORE	2220590	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2296459	1.034	1700000	2540000	yes	203.00	run-log	994	32443	98030	0	1:16.44	1131868	0	SRR10861751/auto_F
SRR24489322	outlier	OXFORD_NANOPORE	4296919	auto	254e1462cfa910f507313fe8b718fcab320e275d	1153835	0.269	414540	3230000	yes	21.00	run-log	748	68202	74503	53	2:26.21	2687028	0	SRR24489322/auto
SRR24489322	outlier	OXFORD_NANOPORE	4296919	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2363781	0.550	688430	7150000	yes	21.00	run-log	748	68202	74503	53	2:57.61	2672048	0	SRR24489322/auto_F
SRR26465521	outlier	OXFORD_NANOPORE	2285943	auto	254e1462cfa910f507313fe8b718fcab320e275d	2142828	0.937	895170	2350000	yes	252.00	run-log	897	25579	88519	18	1:24.99	1867948	0	SRR26465521/auto
SRR26465521	outlier	OXFORD_NANOPORE	2285943	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2630009	1.151	2180000	2850000	yes	252.00	run-log	897	25579	88519	18	1:40.32	1854760	0	SRR26465521/auto_F
SRR26465523	outlier	OXFORD_NANOPORE	2235838	auto	254e1462cfa910f507313fe8b718fcab320e275d	2190770	0.980	896720	2450000	yes	142.00	run-log	649	29883	63538	34	0:54.11	1210760	0	SRR26465523/auto
SRR26465523	outlier	OXFORD_NANOPORE	2235838	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2766462	1.237	2090000	3020000	yes	142.00	run-log	649	29883	63538	34	1:03.65	1248628	0	SRR26465523/auto_F
SRR26465524	outlier	OXFORD_NANOPORE	2287581	auto	254e1462cfa910f507313fe8b718fcab320e275d	2112788	0.924	797660	2420000	yes	180.00	run-log	554	15755	53491	26	1:08.55	1995276	0	SRR26465524/auto
SRR26465524	outlier	OXFORD_NANOPORE	2287581	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2667580	1.166	1860000	2950000	yes	180.00	run-log	554	15755	53491	26	1:20.13	2012308	0	SRR26465524/auto_F
SRR26465526	outlier	OXFORD_NANOPORE	2230369	auto	254e1462cfa910f507313fe8b718fcab320e275d	2143654	0.961	893500	2380000	yes	425.00	run-log	1338	26905	132633	36	1:46.63	1858028	0	SRR26465526/auto
SRR26465526	outlier	OXFORD_NANOPORE	2230369	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2676127	1.200	2090000	2910000	yes	425.00	run-log	1338	26905	132633	36	2:07.27	1841600	0	SRR26465526/auto_F
SRR26465560	outlier	OXFORD_NANOPORE	3198172	never	254e1462cfa910f507313fe8b718fcab320e275d	314829	0.098	52310	2960000	no	NA	NA	NA	NA	NA	30	1:02.25	2023632	0	SRR26465560/never
SRR26465560	outlier	OXFORD_NANOPORE	3198172	auto	254e1462cfa910f507313fe8b718fcab320e275d	2979472	0.932	713540	3310000	yes	165.00	run-log	1204	66081	119614	17	1:30.18	1203600	0	SRR26465560/auto
SRR26465560	outlier	OXFORD_NANOPORE	3198172	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	3828927	1.197	2920000	4190000	yes	165.00	run-log	1204	66081	119614	17	1:53.15	1206248	0	SRR26465560/auto_F
SRR26465563	outlier	OXFORD_NANOPORE	3117753	auto	254e1462cfa910f507313fe8b718fcab320e275d	3055125	0.980	854490	3380000	yes	82.00	run-log	963	60522	93762	42	1:16.41	1257300	0	SRR26465563/auto
SRR26465563	outlier	OXFORD_NANOPORE	3117753	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	3853748	1.236	3010000	4220000	yes	82.00	run-log	963	60522	93762	42	1:32.96	1254544	0	SRR26465563/auto_F
SRR26715165	outlier	OXFORD_NANOPORE	2271101	never	254e1462cfa910f507313fe8b718fcab320e275d	928901	0.409	298040	2500000	no	NA	NA	NA	NA	NA	1	0:49.95	4102476	0	SRR26715165/never
SRR26715165	outlier	OXFORD_NANOPORE	2271101	auto	254e1462cfa910f507313fe8b718fcab320e275d	2104556	0.927	739600	2350000	yes	38.00	run-log	403	24236	39564	1	1:29.44	2946240	0	SRR26715165/auto
SRR26715165	outlier	OXFORD_NANOPORE	2271101	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2523066	1.111	1970000	2750000	yes	38.00	run-log	403	24236	39564	1	1:45.14	2941304	0	SRR26715165/auto_F
SRR26715166	outlier	OXFORD_NANOPORE	2271523	auto	254e1462cfa910f507313fe8b718fcab320e275d	489466	0.215	41450	2180000	no	12.00	debug-rerun	69	NA	NA	0	0:25.25	1058220	0	SRR26715166/auto
SRR26715166	outlier	OXFORD_NANOPORE	2271523	auto_F	254e1462cfa910f507313fe8b718fcab320e275d	2353999	1.036	42820	3580000	no	12.00	debug-rerun	69	NA	NA	0	0:28.84	1025572	0	SRR26715166/auto_F
