accession	class	platform	truth_bp	mode	old_estimate_bp	new_estimate_bp	estimates_match	old_selected_md5	new_selected_md5	selected_reads_match	old_retained_reads	new_retained_reads	old_elapsed	new_elapsed	old_cpu_percent	new_cpu_percent	old_max_rss_kb	new_max_rss_kb	old_median_depth	new_median_depth	median_depth_match	old_count_s	new_count_s	old_profile_s	new_profile_s	old_scoring_s	new_scoring_s	old_selection_s	new_selection_s
SRR10861751	outlier	OXFORD_NANOPORE	2220590	auto	2200418	2200418	yes	09cb91822d79	09cb91822d79	yes	25034	25034	0:17.71	0:12.83	672	626	1072168	1087384	15	15	yes	1.14	0.94	3.95	1.48	3.96	1.56	8.04	3.18
SRR10861751	outlier	OXFORD_NANOPORE	2220590	lowmem	2122585	2122585	yes	321a693d1500	321a693d1500	yes	9780	9780	0:13.84	0:08.65	635	565	572900	564300	4	4	yes	0.84	0.84	4.24	1.65	4.02	1.39	9.18	3.94
SRR12247681	control	OXFORD_NANOPORE	5067008	auto	5544558	5544558	yes	7cefd3dd25f9	7cefd3dd25f9	yes	141292	141292	0:40.01	0:20.14	383	318	812348	725224	27	27	yes	6.15	5.47	12.93	5.84	18.21	6.32	31.23	12.25
SRR12247681	control	OXFORD_NANOPORE	5067008	lowmem	5818314	5818314	yes	8ceeb90f9920	8ceeb90f9920	yes	96360	96360	0:32.32	0:24.70	493	278	708112	695936	13	13	yes	5.50	5.18	9.83	5.94	9.38	5.90	24.58	17.05
SRR24489322	outlier	OXFORD_NANOPORE	4296919	auto	1799306	1799306	yes	9e537c0fdcb4	9e537c0fdcb4	yes	55406	55406	0:42.54	0:35.51	629	506	2167020	2093328	26	26	yes	5.68	5.24	8.78	5.82	9.41	5.99	18.45	12.04
SRR24489322	outlier	OXFORD_NANOPORE	4296919	lowmem	2268648	2268648	yes	dd100936de3e	dd100936de3e	yes	47513	47513	0:47.86	0:37.57	537	449	2147604	2085500	17	17	yes	5.42	4.99	9.16	5.58	11.82	5.80	26.21	16.45
SRR26465521	outlier	OXFORD_NANOPORE	2285943	auto	2237900	2237900	yes	4f66f9c05a4a	4f66f9c05a4a	yes	23571	23571	0:35.80	0:33.43	672	570	1638172	1605260	34	34	yes	3.36	3.13	4.95	3.38	4.88	3.60	9.96	7.30
SRR26465521	outlier	OXFORD_NANOPORE	2285943	lowmem	2158548	2158548	yes	900c139d7328	900c139d7328	yes	3990	3990	0:28.32	0:15.13	336	289	459944	442860	4	4	yes	2.94	2.92	5.74	3.43	14.54	3.39	23.27	9.78
SRR26465523	outlier	OXFORD_NANOPORE	2235838	auto	2152985	2152985	yes	08ce198b1921	08ce198b1921	yes	29721	29721	0:25.27	0:22.17	582	529	1233460	1164720	44	44	yes	2.33	2.15	3.84	2.78	4.82	3.14	8.78	6.03
SRR26465523	outlier	OXFORD_NANOPORE	2235838	lowmem	2191080	2191080	yes	0147b85cb3bc	0147b85cb3bc	yes	4491	4491	0:15.07	0:10.92	420	280	350544	347664	3	3	yes	2.03	2.08	4.37	2.63	4.68	2.61	11.17	7.27
SRR26465524	outlier	OXFORD_NANOPORE	2287581	auto	2138308	2138308	yes	dfcbdd24b6da	dfcbdd24b6da	yes	15422	15422	0:35.50	0:32.75	673	640	1781864	1957732	30	30	yes	2.20	2.05	3.23	2.25	4.18	2.50	7.55	4.92
SRR26465524	outlier	OXFORD_NANOPORE	2287581	lowmem	2072242	2072242	yes	4d99c8580da9	4d99c8580da9	yes	2739	2739	0:11.70	0:09.88	501	264	340528	318188	3	3	yes	1.97	1.97	3.47	2.31	3.16	2.42	8.61	6.71
SRR26465526	outlier	OXFORD_NANOPORE	2230369	auto	2214342	2214342	yes	ee261f7eb130	ee261f7eb130	yes	23258	23258	0:36.57	0:32.79	665	538	1513252	1509592	31	31	yes	4.49	4.19	6.43	4.52	6.34	4.55	12.90	9.19
SRR26465526	outlier	OXFORD_NANOPORE	2230369	lowmem	2079221	2079221	yes	3d65635b2e88	3d65635b2e88	yes	4078	4078	0:22.98	0:18.91	514	266	437336	428032	4	4	yes	4.04	4.04	6.64	4.57	6.35	4.43	17.08	13.01
SRR26465560	outlier	OXFORD_NANOPORE	3198172	auto	2926832	2926832	yes	b1d6d3554086	b1d6d3554086	yes	65360	65360	0:33.10	0:26.83	506	411	1213792	1136748	67	67	yes	4.13	3.84	7.39	4.09	7.41	4.51	14.90	8.70
SRR26465560	outlier	OXFORD_NANOPORE	3198172	lowmem	2888701	2888701	yes	64b3b9424ddf	64b3b9424ddf	yes	9425	9425	0:51.81	0:20.71	252	325	556368	539340	5	5	yes	3.71	3.69	6.41	4.30	22.61	4.03	32.85	12.06
SRR26465563	outlier	OXFORD_NANOPORE	3117753	auto	3043047	3043047	yes	db2d6d8d871e	db2d6d8d871e	yes	59957	59957	0:25.12	0:22.54	624	487	1290412	1274140	76	76	yes	3.41	3.20	4.94	3.88	5.28	3.97	10.35	7.96
SRR26465563	outlier	OXFORD_NANOPORE	3117753	lowmem	2995887	2995887	yes	0e7a011bed8e	0e7a011bed8e	yes	7466	7466	0:19.12	0:16.68	515	310	367188	354268	4	4	yes	3.06	3.05	5.20	4.01	5.21	3.88	13.53	11.03
SRR26715165	outlier	OXFORD_NANOPORE	2271101	auto	2130202	2130202	yes	ce02aadf8534	ce02aadf8534	yes	15243	15243	0:47.66	0:40.80	594	592	2656764	2823888	13	13	yes	2.91	2.67	5.09	3.20	7.89	3.31	13.17	6.67
SRR26715165	outlier	OXFORD_NANOPORE	2271101	lowmem	2138167	2138167	yes	65b7eaa21d0c	65b7eaa21d0c	yes	9340	9340	0:30.81	0:33.84	503	341	1204784	1164672	6	6	yes	2.56	2.58	8.15	2.94	4.23	3.23	15.03	8.79
SRR26715166	outlier	OXFORD_NANOPORE	2271523	auto	1881388	1881388	yes	c648738188fc	c648738188fc	yes	3756	3756	0:04.15	0:03.66	588	496	366120	339276	3	3	yes	0.68	0.48	0.62	0.43	0.59	0.42	1.26	0.91
SRR26715166	outlier	OXFORD_NANOPORE	2271523	lowmem	1768276	1768276	yes	4c93060f3020	4c93060f3020	yes	1914	1914	0:02.73	0:02.31	508	325	190600	182900	1	1	yes	0.38	0.38	0.71	0.49	0.60	0.40	1.71	1.29
SRR8618952	control	PACBIO_SMRT	4907789	auto	5890324	5890324	yes	bda0fc5306cf	bda0fc5306cf	yes	NA	NA	0:07.22	0:06.92	238	247	1230648	1232592	NA	NA	NA	2.35	1.99	NA	NA	NA	NA	1.89	1.92
SRR8618952	control	PACBIO_SMRT	4907789	lowmem	5794285	5794285	yes	51441fe26537	51441fe26537	yes	135918	135918	0:22.45	0:12.25	624	483	1258876	1242452	26	26	yes	1.77	1.75	8.05	3.04	7.79	2.63	17.73	7.56
