accession	platform	truth_bp	regime	nth	pool_reads	split	mode	seed	target_reads_requested	query_reads_requested	target_reads_used	query_reads_used	avg_target_len	avg_query_len	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	expected_overlaps_per_query	normalization_engaged	skew_score	profile_median_depth	retained_reads	total_reads	queries_without_overlaps_pct	small_pool_warning	elapsed	max_rss_kb	exit_status	run_dir
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	1to1	never	42	3543	3544	3543	3544	17525.85	17291.924	791762	0.2016	277860	2300000	31.23	no	NA	NA	NA	7087	0.03	no	0:27.27	1267640	0	starved/DRR213976/1to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	1to1	never	4556	3543	3544	3543	3544	17388.63	17429.105	790547	0.2013	265490	2550000	31.23	no	NA	NA	NA	7087	0.03	no	0:26.72	1199956	0	starved/DRR213976/1to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	2to1	auto	7	4724	2363	3697	1849	17475.133	17184.037	1612693	0.4107	423740	3230000	32.44	yes	29.00	4	5546	7087	0.0	yes	0:12.61	1011400	0	starved/DRR213976/2to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	2to1	auto	42	4724	2363	3663	1832	17305.969	17866.703	1788452	0.4554	428690	3260000	32.62	yes	31.00	4	5495	7087	0.05	yes	0:13.50	1011928	0	starved/DRR213976/2to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	2to1	auto	4556	4724	2363	3669	1834	17178.057	17814.498	1659816	0.4227	420020	3230000	32.51	yes	33.00	4	5503	7087	0.0	yes	0:12.88	1037664	0	starved/DRR213976/2to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	2to1	never	7	4724	2363	4724	2363	17240.146	17746.178	886521	0.2257	325350	2780000	41.85	no	NA	NA	NA	7087	0.04	no	0:22.89	1393308	0	starved/DRR213976/2to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	2to1	never	42	4724	2363	4724	2363	17560.596	17105.547	1054098	0.2684	329380	3180000	41.46	no	NA	NA	NA	7087	0.04	no	0:24.63	1483404	0	starved/DRR213976/2to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	2to1	never	4556	4724	2363	4724	2363	17397.305	17431.994	1071740	0.2729	336380	3070000	41.66	no	NA	NA	NA	7087	0.04	no	0:22.71	1338468	0	starved/DRR213976/2to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	4to1	auto	7	5669	1418	4437	1109	17485.947	16946.535	1991691	0.5072	461800	3350000	38.68	yes	29.00	4	5546	7087	0.0	yes	0:10.26	1112588	0	starved/DRR213976/4to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	4to1	auto	42	5669	1418	4396	1099	17389.234	17907.629	2225680	0.5667	465810	3530000	39.29	yes	31.00	4	5495	7087	0.09	yes	0:12.73	1168368	0	starved/DRR213976/4to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	4to1	auto	4556	5669	1418	4402	1101	17361.26	17505.736	2023552	0.5153	465300	3440000	38.86	yes	33.00	4	5503	7087	0.0	yes	0:10.52	1196052	0	starved/DRR213976/4to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	4to1	never	7	5669	1418	5669	1418	17407.152	17415.744	1295306	0.3298	372220	3300000	49.98	no	NA	NA	NA	7087	0.07	no	0:16.37	1706704	0	starved/DRR213976/4to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	4to1	never	42	5669	1418	5669	1418	17491.836	17077.19	1382218	0.3520	358200	3460000	49.61	no	NA	NA	NA	7087	0.07	no	0:16.34	1744656	0	starved/DRR213976/4to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	4to1	never	4556	5669	1418	5669	1418	17423.85	17348.988	1511864	0.3850	377780	3550000	49.91	no	NA	NA	NA	7087	0.07	no	0:16.51	1678820	0	starved/DRR213976/4to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	8to1	auto	7	6299	788	4930	616	17471.16	16633.17	2153926	0.5485	483300	3380000	42.56	yes	29.00	4	5546	7087	0.0	yes	0:07.97	1274488	0	starved/DRR213976/8to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	8to1	auto	42	6299	788	4885	610	17396.533	18264.752	2666708	0.6790	481550	3570000	44.11	yes	31.00	4	5495	7087	0.16	yes	0:08.20	1305852	0	starved/DRR213976/8to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	8to1	auto	4556	6299	788	4892	611	17477.291	16692.592	2423122	0.6170	474480	3520000	42.32	yes	33.00	4	5503	7087	0.0	yes	0:08.00	1347296	0	starved/DRR213976/8to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	8to1	never	7	6299	788	6299	788	17375.582	17674.969	1435360	0.3655	384630	3430000	55.90	no	NA	NA	NA	7087	0.0	no	0:11.50	1823760	0	starved/DRR213976/8to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	8to1	never	42	6299	788	6299	788	17505.566	16635.92	1525192	0.3884	377270	3600000	54.44	no	NA	NA	NA	7087	0.13	no	0:11.65	1936480	0	starved/DRR213976/8to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	starved	8	7087	8to1	never	4556	6299	788	6299	788	17390.324	17557.133	1418870	0.3613	397880	3450000	55.74	no	NA	NA	NA	7087	0.13	no	0:12.07	1944936	0	starved/DRR213976/8to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	legacy	auto	7	9174	5000	6626	3611	17413.79	17531.29	2528508	0.6439	504520	3590000	58.62	yes	34.00	7	10237	14174	0.03	yes	0:30.97	1939840	0	marginal/DRR213976/legacy.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	legacy	auto	42	9174	5000	7058	3846	17626.643	17647.041	2394187	0.6097	515170	3620000	63.04	yes	26.00	8	10904	14174	0.03	yes	0:35.21	2042536	0	marginal/DRR213976/legacy.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	legacy	auto	4556	9174	5000	6628	3612	17759.828	17300.084	2380494	0.6062	526750	3540000	58.84	yes	26.00	7	10240	14174	0.03	yes	0:31.25	1904100	0	marginal/DRR213976/legacy.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	legacy	never	7	9174	5000	9174	5000	17492.342	17654.293	1562263	0.3978	404430	3610000	81.64	no	NA	NA	NA	14174	0.0	no	1:10.74	2884200	0	marginal/DRR213976/legacy.never.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	legacy	never	42	9174	5000	9174	5000	17595.441	17465.127	1626871	0.4143	404710	3710000	81.44	no	NA	NA	NA	14174	0.02	no	1:09.92	2809648	0	marginal/DRR213976/legacy.never.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	legacy	never	4556	9174	5000	9174	5000	17505.025	17631.021	1563089	0.3980	398900	3610000	81.61	no	NA	NA	NA	14174	0.04	no	1:10.30	3156620	0	marginal/DRR213976/legacy.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	1to1	auto	7	7087	7087	5119	5118	17306.373	17604.127	2178143	0.5546	465860	3500000	45.25	yes	34.00	7	10237	14174	0.02	yes	0:34.50	1496976	0	marginal/DRR213976/1to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	1to1	auto	42	7087	7087	5452	5452	17668.121	17599.553	2108768	0.5370	468960	3510000	48.69	yes	26.00	8	10904	14174	0.04	yes	0:40.41	1585768	0	marginal/DRR213976/1to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	1to1	auto	4556	7087	7087	5120	5120	17733.387	17461.934	2214920	0.5640	494310	3460000	45.63	yes	26.00	7	10240	14174	0.02	yes	0:35.38	1550444	0	marginal/DRR213976/1to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	1to1	never	7	7087	7087	7087	7087	17730.271	17368.672	1412626	0.3597	388030	3430000	62.98	no	NA	NA	NA	14174	0.01	no	1:21.37	2627308	0	marginal/DRR213976/1to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	1to1	never	42	7087	7087	7087	7087	17679.885	17419.059	1433574	0.3650	376010	3510000	62.98	no	NA	NA	NA	14174	0.01	no	1:21.90	2471772	0	marginal/DRR213976/1to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	1to1	never	4556	7087	7087	7087	7087	17407.924	17691.02	1442139	0.3672	366060	3520000	62.98	no	NA	NA	NA	14174	0.04	no	1:22.56	2891824	0	marginal/DRR213976/1to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	2to1	auto	7	9449	4725	6825	3412	17423.33	17519.057	2624013	0.6682	515270	3600000	60.38	yes	34.00	7	10237	14174	0.03	yes	0:30.41	1992476	0	marginal/DRR213976/2to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	2to1	auto	42	9449	4725	7270	3634	17669.072	17563.346	2453828	0.6248	525770	3630000	64.85	yes	26.00	8	10904	14174	0.03	yes	0:36.15	1894800	0	marginal/DRR213976/2to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	2to1	auto	4556	9449	4725	6827	3413	17722.916	17347.113	2310526	0.5883	528870	3540000	60.62	yes	26.00	7	10240	14174	0.03	yes	0:31.25	1955260	0	marginal/DRR213976/2to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	2to1	never	7	9449	4725	9449	4725	17475.307	17697.787	1568263	0.3993	408670	3620000	84.15	no	NA	NA	NA	14174	0.0	no	2:03.38	2935704	0	marginal/DRR213976/2to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	2to1	never	42	9449	4725	9449	4725	17594.148	17460.129	1647895	0.4196	407750	3700000	83.86	no	NA	NA	NA	14174	0.02	no	1:21.85	2727868	0	marginal/DRR213976/2to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	2to1	never	4556	9449	4725	9449	4725	17544.746	17558.924	1626397	0.4141	404570	3650000	83.98	no	NA	NA	NA	14174	0.04	no	1:09.55	2802208	0	marginal/DRR213976/2to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	4to1	auto	7	11339	2835	8190	2047	17519.754	17197.105	2920191	0.7436	564740	3670000	71.99	yes	34.00	7	10237	14174	0.0	yes	0:23.24	2147676	0	marginal/DRR213976/4to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	4to1	auto	42	11339	2835	8724	2180	17687.697	17418.295	2852047	0.7262	574060	3690000	77.54	yes	26.00	8	10904	14174	0.0	yes	0:26.56	2215076	0	marginal/DRR213976/4to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	4to1	auto	4556	11339	2835	8192	2048	17698.06	17196.057	2352068	0.5989	549680	3580000	72.37	yes	26.00	7	10240	14174	0.05	yes	0:23.17	2132820	0	marginal/DRR213976/4to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	4to1	never	7	11339	2835	11339	2835	17491.451	17781.53	1686133	0.4294	418470	3700000	101.27	no	NA	NA	NA	14174	0.0	no	0:51.71	3173260	0	marginal/DRR213976/4to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	4to1	never	42	11339	2835	11339	2835	17606.082	17323.05	1713352	0.4363	425720	3760000	100.28	no	NA	NA	NA	14174	0.04	no	1:16.61	3060908	0	marginal/DRR213976/4to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	4to1	never	4556	11339	2835	11339	2835	17508.893	17711.768	1641984	0.4181	422200	3690000	101.12	no	NA	NA	NA	14174	0.07	no	0:50.04	3079524	0	marginal/DRR213976/4to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	8to1	auto	7	12599	1575	9100	1137	17466.15	17367.887	2844554	0.7243	585580	3690000	80.26	yes	34.00	7	10237	14174	0.0	yes	0:17.07	2211308	0	marginal/DRR213976/8to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	8to1	auto	42	12599	1575	9693	1211	17661.71	17410.729	3057767	0.7786	604700	3680000	86.07	yes	26.00	8	10904	14174	0.0	yes	0:17.95	2250300	0	marginal/DRR213976/8to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	8to1	auto	4556	12599	1575	9103	1137	17715.188	16656.734	2319322	0.5906	566910	3580000	79.21	yes	26.00	7	10240	14174	0.0	yes	0:16.46	2161308	0	marginal/DRR213976/8to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	8to1	never	7	12599	1575	12599	1575	17567.637	17404.166	1816715	0.4626	424250	3750000	111.56	no	NA	NA	NA	14174	0.0	no	0:31.77	4005140	0	marginal/DRR213976/8to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	8to1	never	42	12599	1575	12599	1575	17579.158	17311.99	1802210	0.4589	443070	3800000	111.30	no	NA	NA	NA	14174	0.06	no	0:30.36	3666348	0	marginal/DRR213976/8to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	marginal	4	14174	8to1	never	4556	12599	1575	12599	1575	17510.672	17859.85	1748122	0.4451	439370	3760000	112.84	no	NA	NA	NA	14174	0.06	no	0:31.76	3776460	0	marginal/DRR213976/8to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	legacy	auto	7	10000	5000	10000	5000	17472.588	17941.988	2769463	0.7052	579130	3580000	89.67	yes	23.00	27	39710	56694	0.04	no	2:13.77	2758692	0	comfortable/DRR213976/legacy.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	legacy	auto	42	10000	5000	10000	5000	17688.482	17632.996	2827598	0.7200	611050	3670000	89.44	yes	30.00	26	38886	56694	0.02	no	0:42.27	2866668	0	comfortable/DRR213976/legacy.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	legacy	auto	4556	10000	5000	10000	5000	17585.56	17712.031	2828479	0.7202	612950	3680000	89.37	yes	33.00	27	39586	56694	0.0	no	0:42.76	2973508	0	comfortable/DRR213976/legacy.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	legacy	never	7	10000	5000	10000	5000	17411.584	17667.195	1900864	0.4840	429380	3780000	88.82	no	NA	NA	NA	56694	0.0	no	0:48.89	3680064	0	comfortable/DRR213976/legacy.never.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	legacy	never	42	10000	5000	10000	5000	17672.621	17613.885	1578475	0.4019	418950	3670000	89.35	no	NA	NA	NA	56694	0.02	no	0:50.45	4087080	0	comfortable/DRR213976/legacy.never.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	legacy	never	4556	10000	5000	10000	5000	17599.54	17699.809	1624917	0.4138	429980	3600000	89.38	no	NA	NA	NA	56694	0.04	no	0:49.82	3799604	0	comfortable/DRR213976/legacy.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	1to1	auto	7	7500	7500	7500	7500	17448.652	17809.459	2471101	0.6292	510880	3520000	66.96	yes	23.00	27	39710	56694	0.05	no	1:17.96	2481340	0	comfortable/DRR213976/1to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	1to1	auto	42	7500	7500	7500	7500	17724.055	17615.918	2625270	0.6685	536920	3540000	67.11	yes	30.00	26	38886	56694	0.04	no	1:18.28	2500760	0	comfortable/DRR213976/1to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	1to1	auto	4556	7500	7500	7500	7500	17700.639	17554.795	2599817	0.6620	525530	3640000	66.95	yes	33.00	27	39586	56694	0.01	no	0:46.73	2576720	0	comfortable/DRR213976/1to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	1to1	never	7	7500	7500	7500	7500	17445.025	17548.55	1612408	0.4106	399660	3570000	66.45	no	NA	NA	NA	56694	0.01	no	0:55.20	3502692	0	comfortable/DRR213976/1to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	1to1	never	42	7500	7500	7500	7500	17531.219	17774.865	1428308	0.3637	393000	3520000	67.05	no	NA	NA	NA	56694	0.01	no	0:55.82	3694660	0	comfortable/DRR213976/1to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	1to1	never	4556	7500	7500	7500	7500	17452.514	17813.41	1453729	0.3702	396440	3450000	66.97	no	NA	NA	NA	56694	0.03	no	0:57.56	3323188	0	comfortable/DRR213976/1to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	2to1	auto	7	10000	5000	10000	5000	17472.588	17941.988	2769463	0.7052	579130	3580000	89.67	yes	23.00	27	39710	56694	0.04	no	0:50.29	2816732	0	comfortable/DRR213976/2to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	2to1	auto	42	10000	5000	10000	5000	17688.482	17632.996	2827598	0.7200	611050	3670000	89.44	yes	30.00	26	38886	56694	0.02	no	0:44.19	2859448	0	comfortable/DRR213976/2to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	2to1	auto	4556	10000	5000	10000	5000	17585.56	17712.031	2828479	0.7202	612950	3680000	89.37	yes	33.00	27	39586	56694	0.0	no	0:43.07	2949508	0	comfortable/DRR213976/2to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	2to1	never	7	10000	5000	10000	5000	17411.584	17667.195	1900864	0.4840	429380	3780000	88.82	no	NA	NA	NA	56694	0.0	no	0:48.61	3781036	0	comfortable/DRR213976/2to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	2to1	never	42	10000	5000	10000	5000	17672.621	17613.885	1578475	0.4019	418950	3670000	89.35	no	NA	NA	NA	56694	0.02	no	1:24.40	4192544	0	comfortable/DRR213976/2to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	2to1	never	4556	10000	5000	10000	5000	17599.54	17699.809	1624917	0.4138	429980	3600000	89.38	no	NA	NA	NA	56694	0.04	no	0:48.04	3673632	0	comfortable/DRR213976/2to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	4to1	auto	7	12000	3000	12000	3000	17649.861	17545.834	3149202	0.8019	633900	3660000	106.94	yes	23.00	27	39710	56694	0.03	no	0:54.51	3705144	0	comfortable/DRR213976/4to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	4to1	auto	42	12000	3000	12000	3000	17635.176	17809.225	3003100	0.7647	666040	3710000	107.70	yes	30.00	26	38886	56694	0.0	no	0:42.03	3813748	0	comfortable/DRR213976/4to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	4to1	auto	4556	12000	3000	12000	3000	17656.002	17514.574	3014084	0.7675	660680	3730000	106.86	yes	33.00	27	39586	56694	0.0	no	0:37.51	3893752	0	comfortable/DRR213976/4to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	4to1	never	7	12000	3000	12000	3000	17482.578	17553.625	2058839	0.5243	455350	3840000	106.45	no	NA	NA	NA	56694	0.0	no	0:43.77	4100596	0	comfortable/DRR213976/4to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	4to1	never	42	12000	3000	12000	3000	17602.465	17855.355	1589429	0.4047	444470	3710000	107.74	no	NA	NA	NA	56694	0.03	no	0:40.17	4775468	0	comfortable/DRR213976/4to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	4to1	never	4556	12000	3000	12000	3000	17641.543	17598.639	1634601	0.4162	440780	3700000	107.07	no	NA	NA	NA	56694	0.07	no	0:44.90	4179112	0	comfortable/DRR213976/4to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	8to1	auto	7	13333	1667	13333	1667	17648.496	17473.574	3224807	0.8212	681940	3700000	118.57	yes	23.00	27	39710	56694	0.06	no	0:35.37	3906152	0	comfortable/DRR213976/8to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	8to1	auto	42	13333	1667	13333	1667	17667.15	17692.658	3028683	0.7712	690160	3720000	119.37	yes	30.00	26	38886	56694	0.0	no	0:29.46	4031336	0	comfortable/DRR213976/8to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	8to1	auto	4556	13333	1667	13333	1667	17628.22	17623.686	3145828	0.8010	704660	3790000	119.01	yes	33.00	27	39586	56694	0.0	no	0:30.76	4191272	0	comfortable/DRR213976/8to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	8to1	never	7	13333	1667	13333	1667	17536.404	17179.928	2132323	0.5430	476210	3870000	117.19	no	NA	NA	NA	56694	0.0	no	0:27.65	4611248	0	comfortable/DRR213976/8to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	8to1	never	42	13333	1667	13333	1667	17620.063	17916.816	1755172	0.4469	462080	3780000	119.98	no	NA	NA	NA	56694	0.06	no	0:36.39	5183004	0	comfortable/DRR213976/8to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	8to1	never	4556	13333	1667	13333	1667	17658.738	17426.797	1693905	0.4313	462860	3750000	118.44	no	NA	NA	NA	56694	0.06	no	0:30.73	4802648	0	comfortable/DRR213976/8to1.never.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	more4to1	auto	7	20000	5000	20000	5000	17607.596	17848.422	3341446	0.8509	857960	3810000	179.56	yes	23.00	27	39620	56694	0.0	no	1:10.52	5692984	0	comfortable/DRR213976/more4to1.auto.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	more4to1	auto	42	20000	5000	20000	5000	17683.824	17590.846	3304218	0.8414	876640	3750000	178.63	yes	30.00	26	38852	56694	0.02	no	1:06.24	5397408	0	comfortable/DRR213976/more4to1.auto.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	more4to1	auto	4556	20000	5000	20000	5000	17519.156	17060.51	3411150	0.8686	848120	3810000	175.09	yes	33.00	27	39671	56694	0.02	no	0:59.54	5294784	0	comfortable/DRR213976/more4to1.auto.s4556
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	more4to1	never	7	20000	5000	20000	5000	17590.107	17667.195	2417764	0.6157	540140	4030000	178.54	no	NA	NA	NA	56694	0.0	no	1:39.99	6759340	0	comfortable/DRR213976/more4to1.never.s7
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	more4to1	never	42	20000	5000	20000	5000	17670.262	17613.885	2044163	0.5205	543490	3920000	178.68	no	NA	NA	NA	56694	0.02	no	1:13.98	7327996	0	comfortable/DRR213976/more4to1.never.s42
DRR213976	OXFORD_NANOPORE	3927137	comfortable	1	56694	more4to1	never	4556	20000	5000	20000	5000	17584.684	17699.809	2098402	0.5343	553420	3900000	178.68	no	NA	NA	NA	56694	0.04	no	1:15.91	6788368	0	comfortable/DRR213976/more4to1.never.s4556
SRR10259778	OXFORD_NANOPORE	4848320	starved	6	6963	legacy	auto	7	1963	5000	1638	4170	21675.705	21072.88	1127542	0.2326	296890	5220000	14.38	yes	38.00	4	5808	6963	1.10	yes	0:23.72	897948	0	starved/SRR10259778/legacy.auto.s7
SRR10259778	OXFORD_NANOPORE	4848320	starved	6	6963	legacy	auto	42	1963	5000	1634	4159	21313.287	21018.658	1060086	0.2187	289210	5330000	14.20	yes	38.00	4	5793	6963	1.30	yes	0:25.18	899104	0	starved/SRR10259778/legacy.auto.s42
SRR10259778	OXFORD_NANOPORE	4848320	starved	6	6963	legacy	auto	4556	1963	5000	1636	4164	21362.164	21163.195	1041894	0.2149	254880	5510000	14.28	yes	36.00	4	5800	6963	1.08	yes	0:28.24	861988	0	starved/SRR10259778/legacy.auto.s4556
SRR10259778	OXFORD_NANOPORE	4848320	starved	6	6963	legacy	never	7	1963	5000	1963	5000	21672.92	21365.064	448905	0.0926	172350	1610000	17.34	no	NA	NA	NA	6963	1.10	no	1:11.70	1061208	0	starved/SRR10259778/legacy.never.s7
