run	platform	true_size	v030_estimate	v1_estimate	v030_relative_error	v1_relative_error	source
DRR161301	OXFORD_NANOPORE	5696751	6710100	6710100	17.7882	17.7882	norm
DRR161302	OXFORD_NANOPORE	4828255	5258194	5258194	8.9046	8.9046	norm
DRR164908	OXFORD_NANOPORE	2870544	3214808	3214808	11.9930	11.9930	norm
DRR164909	OXFORD_NANOPORE	2361227	2847606	2847606	20.5986	20.5986	norm
DRR164910	OXFORD_NANOPORE	2490107	3435796	3435796	37.9778	37.9778	norm
DRR164912	OXFORD_NANOPORE	2290729	2377424	2377424	3.7846	3.7846	norm
DRR164913	OXFORD_NANOPORE	2604381	2612465	2612465	0.3104	0.3104	norm
DRR164914	OXFORD_NANOPORE	2337418	2829438	2829438	21.0497	21.0497	norm
DRR174575	OXFORD_NANOPORE	5655563	5898260	5898260	4.2913	4.2913	norm
DRR174804	PACBIO_SMRT	4768325	8172083	7408560	71.3827	55.3703	pb_preset
DRR174806	PACBIO_SMRT	4811855	6149730	5646643	27.8037	17.3486	pb_preset
DRR174808	PACBIO_SMRT	4770723	6174184	5665774	29.4182	18.7613	pb_preset
DRR174985	PACBIO_SMRT	2579134	3235420	3021025	25.4460	17.1333	pb_preset
DRR177331	OXFORD_NANOPORE	2652264	2871373	2871373	8.2612	8.2612	norm
DRR179484	PACBIO_SMRT	3301347	3770280	3659589	14.2043	10.8514	pb_preset
DRR179485	PACBIO_SMRT	2962376	3433126	3327653	15.8910	12.3305	pb_preset
DRR179488	PACBIO_SMRT	3302129	3747216	3641714	13.4788	10.2838	pb_preset
DRR180484	OXFORD_NANOPORE	4018824	4031793	4031793	0.3227	0.3227	norm
DRR180486	OXFORD_NANOPORE	5199498	5179458	5179458	-0.3854	-0.3854	norm
DRR180575	PACBIO_SMRT	2957206	5174018	4709988	74.9631	59.2716	pb_preset
DRR180676	OXFORD_NANOPORE	4229996	5389095	5389095	27.4019	27.4019	norm
DRR184353	OXFORD_NANOPORE	2169490	2635125	2635125	21.4629	21.4629	norm
DRR187482	OXFORD_NANOPORE	4737839	4922504	4922504	3.8977	3.8977	norm
DRR187571	OXFORD_NANOPORE	2754388	3155106	3155106	14.5483	14.5483	norm
DRR189760	PACBIO_SMRT	4950731	11857879	8439858	139.5177	70.4770	pb_preset
DRR198111	PACBIO_SMRT	2878459	3107547	3091788	7.9587	7.4112	pb_preset
DRR202929	OXFORD_NANOPORE	7982451	8037293	8037293	0.6870	0.6870	norm
DRR203156	OXFORD_NANOPORE	2072807	2134421	2134421	2.9725	2.9725	norm
DRR204804	OXFORD_NANOPORE	841695	1022883	1271778	21.5266	51.0973	norm
DRR205605	OXFORD_NANOPORE	4706935	6326824	6326824	34.4149	34.4149	norm
DRR206394	OXFORD_NANOPORE	5736485	5885563	5885563	2.5988	2.5988	norm
DRR206400	OXFORD_NANOPORE	5808629	6419739	6419739	10.5207	10.5207	norm
DRR206401	OXFORD_NANOPORE	5675722	5869499	5869499	3.4141	3.4141	norm
DRR207366	OXFORD_NANOPORE	3924221	3527690	3949117	-10.1047	0.6344	norm
DRR207436	OXFORD_NANOPORE	6089454	7776832	7776832	27.7098	27.7098	norm
DRR207928	PACBIO_SMRT	2908404	3515859	3373965	20.8862	16.0074	pb_preset
DRR213976	OXFORD_NANOPORE	3927137	1693397	2959145	-56.8796	-24.6488	norm
DRR218311	PACBIO_SMRT	3095585	3898204	3683658	25.9279	18.9972	pb_preset
DRR218419	OXFORD_NANOPORE	2157617	2250388	2250388	4.2997	4.2997	norm
DRR218421	OXFORD_NANOPORE	2178238	2210062	2210062	1.4610	1.4610	norm
DRR228291	PACBIO_SMRT	9470940	16344734	12786986	72.5777	35.0128	pb_preset
DRR228292	PACBIO_SMRT	11246397	22368648	15726472	98.8961	39.8356	pb_preset
DRR239359	OXFORD_NANOPORE	2158609	3011974	3011974	39.5331	39.5331	norm
DRR239360	OXFORD_NANOPORE	2111518	3000296	3000296	42.0919	42.0919	norm
DRR241428	PACBIO_SMRT	3693126	6607590	5047191	78.9159	36.6645	pb_preset
DRR248582	PACBIO_SMRT	9216772	17529824	12017277	90.1948	30.3849	pb_preset
DRR252636	OXFORD_NANOPORE	5381024	5194518	5194518	-3.4660	-3.4660	norm
DRR252637	OXFORD_NANOPORE	5469393	5310189	5310189	-2.9108	-2.9108	norm
DRR252638	OXFORD_NANOPORE	5073921	5063536	5063536	-0.2047	-0.2047	norm
DRR257742	OXFORD_NANOPORE	2750811	2741869	2741869	-0.3251	-0.3251	norm
DRR257743	OXFORD_NANOPORE	2751556	2709082	2709082	-1.5436	-1.5436	norm
DRR258632	OXFORD_NANOPORE	2863321	3181343	3181343	11.1068	11.1068	norm
DRR258751	OXFORD_NANOPORE	3567646	3732094	3732094	4.6094	4.6094	norm
DRR259339	OXFORD_NANOPORE	4936681	5156043	5156043	4.4435	4.4435	norm
DRR261204	OXFORD_NANOPORE	4406941	5550900	5550900	25.9581	25.9581	norm
DRR261205	OXFORD_NANOPORE	4418245	5543889	5543889	25.4772	25.4772	norm
DRR276529	OXFORD_NANOPORE	2927356	2931129	2931129	0.1289	0.1289	norm
DRR276531	OXFORD_NANOPORE	6411763	7054795	7054795	10.0289	10.0289	norm
DRR276630	OXFORD_NANOPORE	5720643	6244294	6244294	9.1537	9.1537	norm
DRR283417	OXFORD_NANOPORE	5091405	6693996	6693996	31.4764	31.4764	norm
DRR286071	OXFORD_NANOPORE	3399245	3547978	3547978	4.3755	4.3755	norm
DRR287515	OXFORD_NANOPORE	2831391	3200085	3200085	13.0217	13.0217	norm
DRR295877	OXFORD_NANOPORE	4799506	5135326	5135326	6.9970	6.9970	norm
DRR296284	PACBIO_SMRT	6732290	6319411	6417458	-6.1328	-4.6764	pb_preset
DRR300286	OXFORD_NANOPORE	2781077	2862710	2862710	2.9353	2.9353	norm
DRR307107	PACBIO_SMRT	2727503	3282754	3085505	20.3575	13.1256	pb_preset
DRR307112	PACBIO_SMRT	3812179	4968606	4693215	30.3351	23.1111	pb_preset
DRR307121	PACBIO_SMRT	3608085	4637166	4368288	28.5215	21.0694	pb_preset
DRR307122	PACBIO_SMRT	3608087	3956382	3827491	9.6532	6.0809	pb_preset
DRR307155	PACBIO_SMRT	4117255	5007674	4749620	21.6265	15.3589	pb_preset
DRR307162	PACBIO_SMRT	2686623	3449576	3216002	28.3982	19.7043	pb_preset
DRR311297	OXFORD_NANOPORE	2116070	2692259	2692259	27.2292	27.2292	norm
DRR313296	OXFORD_NANOPORE	2197308	2471034	2471034	12.4573	12.4573	norm
DRR328211	OXFORD_NANOPORE	4951975	4856771	4856771	-1.9225	-1.9225	norm
DRR328964	OXFORD_NANOPORE	6063247	6492989	6492989	7.0877	7.0877	norm
DRR328966	OXFORD_NANOPORE	6064587	6034049	6034049	-0.5035	-0.5035	norm
DRR328968	OXFORD_NANOPORE	6057347	6277535	6277535	3.6351	3.6351	norm
DRR328970	OXFORD_NANOPORE	6030782	6121904	6121904	1.5109	1.5109	norm
DRR331382	PACBIO_SMRT	4604912	10324912	8450020	124.2152	83.5001	pb_preset
DRR331672	PACBIO_SMRT	2687455	7490536	5046306	178.7223	87.7727	pb_preset
DRR331673	PACBIO_SMRT	2687455	6658907	4623679	147.7774	72.0468	pb_preset
DRR331674	PACBIO_SMRT	2687455	6138386	4369669	128.4089	62.5951	pb_preset
DRR331675	PACBIO_SMRT	2687455	6056863	4306841	125.3754	60.2572	pb_preset
DRR331676	PACBIO_SMRT	2687455	5244165	3954901	95.1350	47.1616	pb_preset
DRR331677	PACBIO_SMRT	2687455	5073317	3857216	88.7777	43.5267	pb_preset
DRR331678	PACBIO_SMRT	2687455	5103061	3910451	89.8845	45.5076	pb_preset
DRR331679	PACBIO_SMRT	2687455	4984582	3841122	85.4759	42.9279	pb_preset
DRR332829	OXFORD_NANOPORE	2115310	2013427	2199349	-4.8165	3.9729	norm
DRR346609	OXFORD_NANOPORE	3816932	3869280	3869280	1.3715	1.3715	norm
DRR346622	OXFORD_NANOPORE	2423923	2368430	2531472	-2.2894	4.4370	norm
DRR346624	OXFORD_NANOPORE	3892282	3987097	3987097	2.4360	2.4360	norm
DRR346902	PACBIO_SMRT	3598496	3465627	3474207	-3.6923	-3.4539	pb_preset
DRR376827	PACBIO_SMRT	6034532	7053056	6664376	16.8783	10.4373	pb_preset
DRR378333	PACBIO_SMRT	5050229	10630263	8026772	110.4907	58.9388	pb_preset
DRR379710	PACBIO_SMRT	6768296	31372318	15301771	363.5187	126.0801	pb_preset
DRR381751	OXFORD_NANOPORE	5630853	5288198	5288198	-6.0853	-6.0853	norm
DRR381752	OXFORD_NANOPORE	5571929	5458871	5458871	-2.0291	-2.0291	norm
DRR381753	OXFORD_NANOPORE	5524294	5122468	5122468	-7.2738	-7.2738	norm
DRR381755	OXFORD_NANOPORE	5526458	5271658	5271658	-4.6105	-4.6105	norm
DRR381756	OXFORD_NANOPORE	5582377	5573065	5573065	-0.1668	-0.1668	norm
DRR381758	OXFORD_NANOPORE	5545203	5588546	5588546	0.7816	0.7816	norm
DRR381759	OXFORD_NANOPORE	5731303	5267880	5267880	-8.0858	-8.0858	norm
DRR381761	OXFORD_NANOPORE	5449642	5213704	5213704	-4.3294	-4.3294	norm
DRR381762	OXFORD_NANOPORE	5407703	5452922	5452922	0.8362	0.8362	norm
DRR381763	OXFORD_NANOPORE	5627247	5240167	5240167	-6.8787	-6.8787	norm
DRR381764	OXFORD_NANOPORE	5489831	5284178	5284178	-3.7461	-3.7461	norm
DRR381765	OXFORD_NANOPORE	5553625	5321412	5321412	-4.1813	-4.1813	norm
DRR385322	OXFORD_NANOPORE	5385758	4933880	4933880	-8.3902	-8.3902	norm
DRR396223	PACBIO_SMRT	5914097	6829525	6446176	15.4787	8.9968	pb_preset
DRR396380	OXFORD_NANOPORE	4943131	4469802	4469802	-9.5755	-9.5755	norm
DRR397251	OXFORD_NANOPORE	4818874	5274072	4958977	9.4461	2.9074	norm
DRR402772	OXFORD_NANOPORE	5423024	6389354	6389354	17.8190	17.8190	norm
DRR403240	OXFORD_NANOPORE	5021947	5253631	4961343	4.6134	-1.2068	norm
DRR403244	PACBIO_SMRT	3403863	3343241	3336527	-1.7810	-1.9782	pb_preset
DRR403326	PACBIO_SMRT	3762062	3643688	3648976	-3.1465	-3.0060	pb_preset
DRR403997	PACBIO_SMRT	2896423	4942152	4564791	70.6295	57.6010	pb_preset
DRR403998	PACBIO_SMRT	2839476	3375290	3103354	18.8702	9.2932	pb_preset
DRR403999	PACBIO_SMRT	2818420	5017518	4548535	78.0259	61.3860	pb_preset
DRR404003	PACBIO_SMRT	2853704	4870772	4456352	70.6825	56.1603	pb_preset
DRR409419	PACBIO_SMRT	6168102	9293074	8044758	50.6634	30.4252	pb_preset
DRR412797	OXFORD_NANOPORE	6272366	8469752	8469752	35.0328	35.0328	norm
DRR412801	OXFORD_NANOPORE	7431165	7733902	7733902	4.0739	4.0739	norm
DRR412803	OXFORD_NANOPORE	6134265	7415434	7415434	20.8855	20.8855	norm
DRR413267	PACBIO_SMRT	1868546	1887464	1896946	1.0124	1.5199	pb_preset
DRR413434	PACBIO_SMRT	2594181	2576532	2585890	-0.6803	-0.3196	pb_preset
DRR413435	PACBIO_SMRT	2773381	2739204	2728721	-1.2323	-1.6103	pb_preset
DRR420784	OXFORD_NANOPORE	5501810	5806638	5806638	5.5405	5.5405	norm
DRR420786	OXFORD_NANOPORE	5351204	5982378	5982378	11.7950	11.7950	norm
DRR424510	OXFORD_NANOPORE	5922257	5435744	5435744	-8.2150	-8.2150	norm
DRR424511	OXFORD_NANOPORE	5809914	5249624	5249624	-9.6437	-9.6437	norm
DRR424517	OXFORD_NANOPORE	6107920	5350566	5350566	-12.3995	-12.3995	norm
DRR424518	OXFORD_NANOPORE	5882574	5308029	5308029	-9.7669	-9.7669	norm
DRR424728	OXFORD_NANOPORE	1195152	1318119	1298359	10.2888	8.6355	norm
DRR424729	OXFORD_NANOPORE	1195152	1034507	1187776	-13.4414	-0.6172	norm
DRR438598	OXFORD_NANOPORE	5464897	5839422	5839422	6.8533	6.8533	norm
DRR439537	OXFORD_NANOPORE	6054104	6220068	6220068	2.7413	2.7413	norm
DRR451308	OXFORD_NANOPORE	4113600	4395310	4395310	6.8483	6.8483	norm
DRR454390	OXFORD_NANOPORE	4489222	5017178	5017178	11.7605	11.7605	norm
DRR457762	OXFORD_NANOPORE	2804089	2847670	2847670	1.5542	1.5542	norm
DRR463739	OXFORD_NANOPORE	4475395	4263368	4263368	-4.7376	-4.7376	norm
DRR465249	OXFORD_NANOPORE	2050376	2191809	2191809	6.8979	6.8979	norm
DRR465255	OXFORD_NANOPORE	2066045	2178174	2369301	5.4272	14.6781	norm
DRR465265	OXFORD_NANOPORE	2066045	2125529	2125529	2.8791	2.8791	norm
DRR482528	OXFORD_NANOPORE	1634766	1621969	1629551	-0.7828	-0.3190	norm
DRR482530	OXFORD_NANOPORE	1781408	1811356	1811356	1.6811	1.6811	norm
DRR482533	OXFORD_NANOPORE	1770410	1686466	1778705	-4.7415	0.4685	norm
DRR482539	OXFORD_NANOPORE	1755387	1751460	1783941	-0.2237	1.6266	norm
DRR482540	OXFORD_NANOPORE	1777664	1793535	1814766	0.8928	2.0871	norm
DRR482541	OXFORD_NANOPORE	1677003	1644132	1729315	-1.9601	3.1194	norm
DRR482546	OXFORD_NANOPORE	1655063	1679827	1679810	1.4963	1.4952	norm
DRR482548	OXFORD_NANOPORE	1752046	1797667	1801911	2.6039	2.8461	norm
DRR482549	OXFORD_NANOPORE	1640912	1666207	1666207	1.5415	1.5415	norm
DRR482551	OXFORD_NANOPORE	1821325	1805765	1810215	-0.8543	-0.6100	norm
DRR482554	OXFORD_NANOPORE	1678366	1656182	1656182	-1.3218	-1.3218	norm
DRR482557	OXFORD_NANOPORE	1817972	1867228	1867070	2.7094	2.7007	norm
DRR482559	OXFORD_NANOPORE	1693323	1761493	1763379	4.0258	4.1372	norm
DRR482560	OXFORD_NANOPORE	1642684	1885298	1885298	14.7694	14.7694	norm
DRR482562	OXFORD_NANOPORE	1728674	1747346	1747346	1.0801	1.0801	norm
DRR482569	OXFORD_NANOPORE	1654288	1793162	1793162	8.3948	8.3948	norm
DRR482572	OXFORD_NANOPORE	1720098	1647498	1672872	-4.2207	-2.7455	norm
DRR482574	OXFORD_NANOPORE	1659717	1637657	1682031	-1.3291	1.3444	norm
DRR482580	OXFORD_NANOPORE	1789392	1716936	1716936	-4.0492	-4.0492	norm
DRR482585	OXFORD_NANOPORE	1670990	1748861	1748861	4.6602	4.6602	norm
DRR482590	OXFORD_NANOPORE	1629728	1627932	1631442	-0.1102	0.1052	norm
DRR488392	PACBIO_SMRT	6050184	5849102	5665328	-3.3236	-6.3611	pb_preset
DRR490216	PACBIO_SMRT	5125506	4743750	4761904	-7.4482	-7.0940	pb_preset
DRR491367	PACBIO_SMRT	2213206	2075213	2114754	-6.2350	-4.4484	pb_preset
DRR492952	OXFORD_NANOPORE	5507507	5693424	5693424	3.3757	3.3757	norm
DRR492953	OXFORD_NANOPORE	5507508	5669426	5669426	2.9400	2.9400	norm
DRR492954	OXFORD_NANOPORE	5654881	5992293	5992293	5.9667	5.9667	norm
DRR492955	OXFORD_NANOPORE	5548378	5996716	5996716	8.0805	8.0805	norm
DRR505221	OXFORD_NANOPORE	4696213	4413614	4413614	-6.0176	-6.0176	norm
DRR506547	PACBIO_SMRT	9922990	8861198	9016015	-10.7003	-9.1401	pb_preset
DRR508925	OXFORD_NANOPORE	4773722	4906424	4906424	2.7798	2.7798	norm
DRR511540	OXFORD_NANOPORE	2852436	3274630	3274630	14.8012	14.8012	norm
DRR513091	OXFORD_NANOPORE	5746956	6230870	6230870	8.4204	8.4204	norm
DRR513096	OXFORD_NANOPORE	5521407	5531440	5531440	0.1817	0.1817	norm
DRR513694	PACBIO_SMRT	10833180	8664654	8937566	-20.0174	-17.4982	pb_preset
DRR513997	OXFORD_NANOPORE	2593422	3018808	4002556	16.4025	54.3349	norm
DRR514775	PACBIO_SMRT	3122901	3793624	3610971	21.4776	15.6287	pb_preset
DRR514873	PACBIO_SMRT	3793644	3723424	3739924	-1.8510	-1.4161	pb_preset
DRR514962	PACBIO_SMRT	5219685	5024070	5042154	-3.7476	-3.4012	pb_preset
DRR514964	PACBIO_SMRT	4591558	4320405	4344648	-5.9055	-5.3775	pb_preset
DRR514966	PACBIO_SMRT	4253521	4071011	4089270	-4.2908	-3.8615	pb_preset
DRR515422	OXFORD_NANOPORE	2853896	3020661	3020661	5.8434	5.8434	norm
DRR546153	PACBIO_SMRT	4219519	3933858	3995570	-6.7700	-5.3075	pb_preset
DRR546398	PACBIO_SMRT	5370016	5182300	5230839	-3.4956	-2.5917	pb_preset
DRR546667	PACBIO_SMRT	3591470	3097292	3109338	-13.7598	-13.4244	pb_preset
DRR567738	PACBIO_SMRT	3920899	3643554	3624562	-7.0735	-7.5579	pb_preset
DRR567791	OXFORD_NANOPORE	6398572	6259528	6259528	-2.1730	-2.1730	norm
DRR568656	PACBIO_SMRT	3846721	3768724	3776580	-2.0276	-1.8234	pb_preset
ERR10359830	OXFORD_NANOPORE	2799887	2661574	2661574	-4.9399	-4.9399	norm
ERR10359903	OXFORD_NANOPORE	2290161	2351312	2351312	2.6702	2.6702	norm
ERR10360290	OXFORD_NANOPORE	2542510	2323153	2485280	-8.6276	-2.2509	norm
ERR10360381	OXFORD_NANOPORE	2444274	2272379	2272379	-7.0326	-7.0326	norm
ERR10367348	OXFORD_NANOPORE	5768986	5787563	5787563	0.3220	0.3220	norm
ERR10367379	OXFORD_NANOPORE	5419864	5393080	5410912	-0.4942	-0.1652	norm
ERR10513163	OXFORD_NANOPORE	2946483	2833430	2853464	-3.8369	-3.1570	norm
ERR10762505	OXFORD_NANOPORE	6034252	6823135	6823135	13.0734	13.0734	norm
ERR10846345	OXFORD_NANOPORE	5647759	5353593	5353593	-5.2085	-5.2085	norm
ERR11011593	OXFORD_NANOPORE	4663684	4512978	4512978	-3.2315	-3.2315	norm
ERR11749495	OXFORD_NANOPORE	5425457	5317302	5317302	-1.9935	-1.9935	norm
ERR11749503	OXFORD_NANOPORE	5142398	5570357	6098264	8.3222	18.5879	norm
ERR11843499	OXFORD_NANOPORE	5224726	7459524	7459524	42.7735	42.7735	norm
ERR11843500	OXFORD_NANOPORE	5453374	7976428	7976428	46.2659	46.2659	norm
ERR11843501	OXFORD_NANOPORE	4341397	6865598	6865598	58.1426	58.1426	norm
ERR11843502	OXFORD_NANOPORE	4794172	6862358	6862358	43.1396	43.1396	norm
ERR12041378	OXFORD_NANOPORE	4468467	4578099	4578099	2.4535	2.4535	norm
ERR12041384	OXFORD_NANOPORE	2401490	2381208	2406320	-0.8446	0.2011	norm
ERR12041388	OXFORD_NANOPORE	5662787	5604242	5604242	-1.0339	-1.0339	norm
ERR12075675	OXFORD_NANOPORE	5102716	5212166	5047796	2.1449	-1.0763	norm
ERR12075676	OXFORD_NANOPORE	2587876	2625158	2625158	1.4406	1.4406	norm
ERR12075677	OXFORD_NANOPORE	4895951	4908968	4908968	0.2659	0.2659	norm
ERR12075678	OXFORD_NANOPORE	2185688	2342518	2378945	7.1753	8.8419	norm
ERR12308179	OXFORD_NANOPORE	4658079	4781007	4781007	2.6390	2.6390	norm
ERR12321267	OXFORD_NANOPORE	4658079	4886358	4886358	4.9007	4.9007	norm
ERR13600299	OXFORD_NANOPORE	5605568	5569310	5569310	-0.6468	-0.6468	norm
ERR13600311	OXFORD_NANOPORE	5606091	5398758	5398758	-3.6984	-3.6984	norm
ERR13600315	OXFORD_NANOPORE	5306834	5061156	5061156	-4.6295	-4.6295	norm
ERR13600320	OXFORD_NANOPORE	5430337	5138160	5138160	-5.3805	-5.3805	norm
ERR13600327	OXFORD_NANOPORE	5190314	5102379	5102379	-1.6942	-1.6942	norm
ERR13600329	OXFORD_NANOPORE	5134070	5058304	5058304	-1.4757	-1.4757	norm
ERR13600333	OXFORD_NANOPORE	5476043	5114897	5114897	-6.5950	-6.5950	norm
ERR13600334	OXFORD_NANOPORE	5351084	5015248	5015248	-6.2760	-6.2760	norm
ERR13600335	OXFORD_NANOPORE	5482177	5296228	5296228	-3.3919	-3.3919	norm
ERR13600341	OXFORD_NANOPORE	5105113	4802381	4802381	-5.9300	-5.9300	norm
ERR13600342	OXFORD_NANOPORE	5406955	5136684	5172164	-4.9986	-4.3424	norm
ERR13600343	OXFORD_NANOPORE	5351251	5086252	5086252	-4.9521	-4.9521	norm
ERR13600344	OXFORD_NANOPORE	5351057	4969157	4969157	-7.1369	-7.1369	norm
ERR13600346	OXFORD_NANOPORE	5473829	5340398	5340398	-2.4376	-2.4376	norm
ERR13600351	OXFORD_NANOPORE	5542103	5207250	5207250	-6.0420	-6.0420	norm
ERR13600356	OXFORD_NANOPORE	5471593	5301666	5302359	-3.1056	-3.0930	norm
ERR13600361	OXFORD_NANOPORE	5384784	5202626	5202626	-3.3828	-3.3828	norm
ERR13600362	OXFORD_NANOPORE	5699850	5456990	5456990	-4.2608	-4.2608	norm
ERR13600365	OXFORD_NANOPORE	5412914	5191413	5191413	-4.0921	-4.0921	norm
ERR13600367	OXFORD_NANOPORE	5540302	5380251	5380251	-2.8888	-2.8888	norm
ERR13600371	OXFORD_NANOPORE	5618962	5477927	5457882	-2.5100	-2.8667	norm
ERR13600376	OXFORD_NANOPORE	5382252	5038515	5038515	-6.3865	-6.3865	norm
ERR13600378	OXFORD_NANOPORE	5368913	5226503	5226503	-2.6525	-2.6525	norm
ERR4658342	OXFORD_NANOPORE	2951169	3017236	3017236	2.2387	2.2387	norm
ERR4658343	OXFORD_NANOPORE	3038549	3096094	3096094	1.8938	1.8938	norm
SRR10013755	PACBIO_SMRT	4954714	6742462	5781125	36.0818	16.6793	pb_preset
SRR10019385	PACBIO_SMRT	7324898	20774180	13091298	183.6105	78.7233	pb_preset
SRR10051055	OXFORD_NANOPORE	2522703	2540836	2540836	0.7188	0.7188	norm
SRR10063223	OXFORD_NANOPORE	5867608	6037031	6037031	2.8874	2.8874	norm
SRR10064710	OXFORD_NANOPORE	3649547	3762471	3762471	3.0942	3.0942	norm
SRR10064714	OXFORD_NANOPORE	4299846	4421442	4421442	2.8279	2.8279	norm
SRR10064716	OXFORD_NANOPORE	6316887	6458270	6458270	2.2382	2.2382	norm
SRR10064720	OXFORD_NANOPORE	7308448	7399412	7399412	1.2446	1.2446	norm
SRR10064722	OXFORD_NANOPORE	6466929	6904213	6904213	6.7618	6.7618	norm
SRR10064723	OXFORD_NANOPORE	7308410	7504403	7504403	2.6817	2.6817	norm
SRR10064731	OXFORD_NANOPORE	4539645	4594253	4594253	1.2029	1.2029	norm
SRR10064740	OXFORD_NANOPORE	6109947	6095736	6095736	-0.2326	-0.2326	norm
SRR10070368	PACBIO_SMRT	6846621	10564758	8707590	54.3062	27.1808	pb_preset
SRR10078297	PACBIO_SMRT	7618936	13086272	11377720	71.7598	49.3348	pb_preset
SRR10140034	PACBIO_SMRT	2846871	3589718	3251930	26.0935	14.2282	pb_preset
SRR10162491	OXFORD_NANOPORE	1767432	1788312	1788312	1.1814	1.1814	norm
SRR10173075	OXFORD_NANOPORE	3885710	4149097	4149097	6.7783	6.7783	norm
SRR10173077	OXFORD_NANOPORE	3885710	4187698	4238560	7.7718	9.0807	norm
SRR10238991	OXFORD_NANOPORE	2096943	3051668	2989600	45.5294	42.5694	norm
SRR10259774	OXFORD_NANOPORE	4614086	4824610	4824610	4.5626	4.5626	norm
SRR10259776	OXFORD_NANOPORE	4807288	4898750	5024983	1.9026	4.5284	norm
SRR10259778	OXFORD_NANOPORE	4848320	509882	2125186	-89.4833	-56.1665	norm
SRR10259780	OXFORD_NANOPORE	4759144	5209095	5209095	9.4545	9.4545	norm
SRR10259782	OXFORD_NANOPORE	4783760	5488163	5509941	14.7249	15.1801	norm
SRR10259784	OXFORD_NANOPORE	4806721	5040530	5040530	4.8642	4.8642	norm
SRR10278956	OXFORD_NANOPORE	5943629	6052453	6052453	1.8309	1.8309	norm
SRR10297953	OXFORD_NANOPORE	4264018	4388208	4388208	2.9125	2.9125	norm
SRR10297959	OXFORD_NANOPORE	3806748	3853550	3853550	1.2294	1.2294	norm
SRR10297961	OXFORD_NANOPORE	5889290	6594494	6594494	11.9743	11.9743	norm
SRR10297966	OXFORD_NANOPORE	5298761	5384775	5384775	1.6233	1.6233	norm
SRR10297968	OXFORD_NANOPORE	4501013	5306218	4686347	17.8894	4.1176	norm
SRR10297973	OXFORD_NANOPORE	5880604	6082860	6082860	3.4394	3.4394	norm
SRR10297975	OXFORD_NANOPORE	5298227	5433371	5433371	2.5507	2.5507	norm
SRR10297977	OXFORD_NANOPORE	4297624	4546308	4546308	5.7865	5.7865	norm
SRR10297980	OXFORD_NANOPORE	4033062	4059056	4059056	0.6445	0.6445	norm
SRR10297981	OXFORD_NANOPORE	4788766	4825885	4825885	0.7751	0.7751	norm
SRR10297982	OXFORD_NANOPORE	4313266	4400527	4400527	2.0231	2.0231	norm
SRR10297990	OXFORD_NANOPORE	3971051	4124231	4124231	3.8574	3.8574	norm
