run	platform	truth_bp	ont_preset_bp	pb_preset_bp	ont_preset_over_truth	pb_preset_over_truth	matches_issue36
DRR491367	PACBIO_SMRT	2213206	2103202	2114754	0.9503	0.9555	yes
DRR506547	PACBIO_SMRT	9922990	8861198	9016015	0.8930	0.9086	yes
DRR513694	PACBIO_SMRT	10833180	8664654	8937566	0.7998	0.8250	yes
DRR514775	PACBIO_SMRT	3122901	3793624	3610971	1.2148	1.1563	yes
DRR514873	PACBIO_SMRT	3793644	3723424	3739924	0.9815	0.9858	yes
DRR514962	PACBIO_SMRT	5219685	5024070	5042154	0.9625	0.9660	yes
DRR514964	PACBIO_SMRT	4591558	4320405	4344648	0.9409	0.9462	yes
DRR514966	PACBIO_SMRT	4253521	4071011	4089270	0.9571	0.9614	yes
DRR546153	PACBIO_SMRT	4219519	3933858	3995570	0.9323	0.9469	yes
DRR546398	PACBIO_SMRT	5370016	5182300	5230839	0.9650	0.9741	yes
DRR546667	PACBIO_SMRT	3591470	3097292	3109338	0.8624	0.8658	yes
DRR567738	PACBIO_SMRT	3920899	3643554	3624562	0.9293	0.9244	yes
DRR568656	PACBIO_SMRT	3846721	3768724	3776580	0.9797	0.9818	yes
SRR10013755	PACBIO_SMRT	4954714	6742462	5781125	1.3608	1.1668	yes
SRR10019385	PACBIO_SMRT	7324898	20774180	13091298	2.8361	1.7872	yes
SRR10070368	PACBIO_SMRT	6846621	10564758	8707590	1.5431	1.2718	yes
SRR10078297	PACBIO_SMRT	7618936	13086272	11377720	1.7176	1.4933	yes
SRR10140034	PACBIO_SMRT	2846871	3589718	3251930	1.2609	1.1423	yes
SRR10340799	OXFORD_NANOPORE	5645678	4857865	4978742	0.8605	0.8819	yes
SRR10405212	PACBIO_SMRT	4528123	4546550	4560279	1.0041	1.0071	yes
SRR10411457	PACBIO_SMRT	5533130	7367660	6346870	1.3316	1.1471	yes
SRR10428552	PACBIO_SMRT	5037217	7446680	6743602	1.4783	1.3388	yes
SRR10507067	PACBIO_SMRT	1832173	3927818	2146964	2.1438	1.1718	yes
SRR10520608	PACBIO_SMRT	5647778	8691616	7807099	1.5389	1.3823	yes
SRR10613303	PACBIO_SMRT	4321452	7419941	6018262	1.7170	1.3926	yes
SRR10662281	PACBIO_SMRT	5370228	8573911	7056261	1.5966	1.3140	yes
SRR10672466	PACBIO_SMRT	3674400	5171339	4778654	1.4074	1.3005	yes
SRR10672468	PACBIO_SMRT	3396816	4865826	4523058	1.4325	1.3316	no
SRR10672473	PACBIO_SMRT	3669945	8025498	5435066	2.1868	1.4810	yes
SRR10695014	PACBIO_SMRT	4684771	5193425	4992652	1.1086	1.0657	yes
SRR10728566	PACBIO_SMRT	7075587	10761944	9399752	1.5210	1.3285	yes
SRR10741801	PACBIO_SMRT	2939729	4388744	4009802	1.4929	1.3640	yes
SRR10743286	PACBIO_SMRT	1677515	1809683	1680204	1.0788	1.0016	yes
SRR10752810	PACBIO_SMRT	2187612	4447050	3942845	2.0328	1.8024	yes
SRR10752811	PACBIO_SMRT	1983159	3236653	3025541	1.6321	1.5256	yes
SRR10752812	PACBIO_SMRT	2349358	4707505	3912099	2.0037	1.6652	yes
SRR10766199	PACBIO_SMRT	5176451	6700402	6350341	1.2944	1.2268	yes
SRR10803141	PACBIO_SMRT	3539411	6432483	4893677	1.8174	1.3826	yes
SRR10803142	PACBIO_SMRT	3539411	6663403	4965178	1.8826	1.4028	yes
SRR10803143	PACBIO_SMRT	3539411	6558555	4914279	1.8530	1.3884	yes
SRR10831793	PACBIO_SMRT	1656288	5803800	4812958	3.5041	2.9059	yes
SRR10851446	PACBIO_SMRT	4530564	5616131	5325488	1.2396	1.1755	yes
SRR10882607	PACBIO_SMRT	5417742	8158675	7394477	1.5059	1.3649	yes
SRR10912906	PACBIO_SMRT	5338743	13117924	8699950	2.4571	1.6296	yes
SRR11078307	PACBIO_SMRT	6818519	10435181	9307500	1.5304	1.3650	yes
SRR11091770	PACBIO_SMRT	2332391	3334358	3570359	1.4296	1.5308	yes
SRR11140579	PACBIO_SMRT	4591950	5914112	5587968	1.2879	1.2169	yes
SRR11140580	PACBIO_SMRT	4432553	6052603	5638502	1.3655	1.2721	yes
SRR11140588	PACBIO_SMRT	4585350	5801250	5451226	1.2652	1.1888	yes
SRR11179864	PACBIO_SMRT	4957773	8760623	7479334	1.7670	1.5086	yes
SRR11212804	PACBIO_SMRT	5561850	6159516	5883044	1.1075	1.0577	yes
SRR11215186	PACBIO_SMRT	1318700	1670578	1627146	1.2668	1.2339	yes
SRR11248242	PACBIO_SMRT	6517592	7877426	7398252	1.2086	1.1351	yes
SRR11248247	PACBIO_SMRT	6286188	7945642	7472110	1.2640	1.1887	yes
SRR11248338	PACBIO_SMRT	7957748	9674878	9073942	1.2158	1.1403	yes
SRR11288494	PACBIO_SMRT	3938593	21395254	15004836	5.4322	3.8097	yes
SRR11290117	PACBIO_SMRT	6536046	8958004	7557487	1.3706	1.1563	yes
SRR11290118	PACBIO_SMRT	6277301	10638441	7975806	1.6947	1.2706	yes
SRR11290119	PACBIO_SMRT	6892015	25664564	13344810	3.7238	1.9363	yes
SRR11306710	PACBIO_SMRT	4832009	7173646	6789074	1.4846	1.4050	yes
SRR11317973	PACBIO_SMRT	5004825	9828561	7748658	1.9638	1.5482	yes
SRR11365219	PACBIO_SMRT	4934027	7736324	6915351	1.5680	1.4016	yes
SRR11451958	PACBIO_SMRT	6902589	18140604	12181331	2.6281	1.7647	yes
SRR11462379	PACBIO_SMRT	9116672	13387070	10705918	1.4684	1.1743	yes
SRR11507283	PACBIO_SMRT	6288195	7568324	7140686	1.2036	1.1356	yes
SRR11513892	PACBIO_SMRT	5353174	9492177	8194734	1.7732	1.5308	yes
SRR11513901	PACBIO_SMRT	5139892	6100565	5659787	1.1869	1.1011	yes
SRR11513908	PACBIO_SMRT	4860289	8881699	7720925	1.8274	1.5886	yes
SRR11553454	PACBIO_SMRT	5357194	5851215	5570328	1.0922	1.0398	yes
SRR11553455	PACBIO_SMRT	5357194	5572015	5290942	1.0401	0.9876	yes
SRR11778447	PACBIO_SMRT	5704030	8337772	6899517	1.4617	1.2096	yes
SRR11880653	PACBIO_SMRT	6357750	9623558	8783914	1.5137	1.3816	yes
SRR11909885	OXFORD_NANOPORE	5276672	5455146	5586990	1.0338	1.0588	yes
SRR11977808	PACBIO_SMRT	3820375	3695363	3761180	0.9673	0.9845	yes
SRR12020159	PACBIO_SMRT	2585348	3175451	2968223	1.2282	1.1481	yes
SRR12042540	PACBIO_SMRT	4810361	6994337	6089264	1.4540	1.2659	yes
SRR12066800	PACBIO_SMRT	6820876	14205525	11829715	2.0827	1.7343	yes
SRR12073574	PACBIO_SMRT	6321947	10267467	8688789	1.6241	1.3744	yes
SRR12073575	PACBIO_SMRT	6321947	12674900	10053376	2.0049	1.5902	yes
SRR12135868	PACBIO_SMRT	8473046	66422400	37279924	7.8393	4.3998	yes
SRR12147485	PACBIO_SMRT	3849224	5129296	4384489	1.3326	1.1391	yes
SRR12158098	PACBIO_SMRT	4980968	7842048	6461554	1.5744	1.2972	yes
SRR12158100	PACBIO_SMRT	5077082	8032370	6533502	1.5821	1.2869	yes
SRR12211926	PACBIO_SMRT	3963437	9300718	6409002	2.3466	1.6170	yes
SRR12298352	PACBIO_SMRT	5309420	7856479	6459128	1.4797	1.2165	yes
SRR12298448	PACBIO_SMRT	5566305	7863942	6724205	1.4128	1.2080	yes
SRR12339180	PACBIO_SMRT	5049889	5018806	5003466	0.9938	0.9908	yes
SRR12367305	PACBIO_SMRT	10375238	27967366	18410636	2.6956	1.7745	yes
SRR12390689	PACBIO_SMRT	4934017	7499976	6573724	1.5201	1.3323	yes
SRR12390701	PACBIO_SMRT	5387171	7635680	6894215	1.4174	1.2797	yes
SRR12396136	PACBIO_SMRT	3918289	5629753	4913368	1.4368	1.2540	yes
SRR12507229	PACBIO_SMRT	1804582	2445897	2229497	1.3554	1.2355	yes
SRR12507232	PACBIO_SMRT	1863075	2611886	2368516	1.4019	1.2713	yes
SRR12563834	PACBIO_SMRT	5213616	7169255	6586196	1.3751	1.2633	yes
SRR12607128	PACBIO_SMRT	2933059	3686816	3386039	1.2570	1.1544	yes
SRR12622555	PACBIO_SMRT	3922746	7436545	6050804	1.8957	1.5425	yes
SRR12697331	OXFORD_NANOPORE	7367353	7193856	7442996	0.9765	1.0103	yes
SRR12704060	PACBIO_SMRT	5185050	6914088	5988924	1.3335	1.1550	yes
SRR12704061	PACBIO_SMRT	6093178	7864874	6931958	1.2908	1.1377	yes
SRR12739076	PACBIO_SMRT	3077465	6544207	5096526	2.1265	1.6561	yes
SRR12739077	PACBIO_SMRT	3077465	7162544	5348761	2.3274	1.7380	yes
SRR12739078	PACBIO_SMRT	3077465	6566920	5147204	2.1339	1.6725	yes
SRR12800422	PACBIO_SMRT	891641	1310067	1141334	1.4693	1.2800	yes
SRR12811577	PACBIO_SMRT	5896689	12166913	10634205	2.0633	1.8034	yes
SRR12811583	PACBIO_SMRT	5825322	20001288	16151100	3.4335	2.7726	yes
SRR12811588	PACBIO_SMRT	5515915	18037576	14963388	3.2701	2.7128	yes
SRR12811598	PACBIO_SMRT	5624921	10009393	8812124	1.7795	1.5666	yes
SRR12825849	PACBIO_SMRT	2132299	2865090	2681023	1.3437	1.2573	yes
SRR12825855	PACBIO_SMRT	3152123	4454447	4118470	1.4132	1.3066	yes
SRR12825879	PACBIO_SMRT	4647315	5356755	5108926	1.1527	1.0993	yes
SRR12825882	PACBIO_SMRT	2075758	2539504	2396677	1.2234	1.1546	yes
SRR12933777	PACBIO_SMRT	2479638	2164078	1026505	0.8727	0.4140	yes
SRR12933779	PACBIO_SMRT	2479638	2953936	2795020	1.1913	1.1272	yes
SRR12934924	PACBIO_SMRT	5200450	7303922	6288413	1.4045	1.2092	yes
SRR12934927	PACBIO_SMRT	4593248	6564594	5747610	1.4292	1.2513	yes
SRR12936660	PACBIO_SMRT	2904831	3572721	3335819	1.2299	1.1484	yes
SRR12937956	PACBIO_SMRT	2583917	4535196	3928698	1.7552	1.5204	yes
SRR12937959	PACBIO_SMRT	5484374	7826331	7061546	1.4270	1.2876	yes
SRR12938614	PACBIO_SMRT	5275260	6947373	6473288	1.3170	1.2271	yes
SRR12938618	PACBIO_SMRT	2669288	4008627	3680840	1.5018	1.3790	yes
SRR12938891	PACBIO_SMRT	2634722	3840494	3594872	1.4576	1.3644	yes
SRR12938913	PACBIO_SMRT	2556308	3409992	3182853	1.3340	1.2451	yes
SRR12938915	PACBIO_SMRT	2543530	3303340	3099898	1.2987	1.2187	yes
SRR12938961	PACBIO_SMRT	3026517	3999014	3670009	1.3213	1.2126	yes
SRR12953601	PACBIO_SMRT	4745224	9381543	6924468	1.9770	1.4592	yes
SRR12970172	PACBIO_SMRT	3712988	5023842	4720180	1.3530	1.2713	yes
SRR12970238	PACBIO_SMRT	3982951	6030420	5797292	1.5141	1.4555	yes
SRR12970287	PACBIO_SMRT	3520443	5359726	5034100	1.5225	1.4300	yes
SRR12975746	PACBIO_SMRT	3267287	3901938	3685014	1.1942	1.1279	yes
SRR13014167	PACBIO_SMRT	2297680	3593963	3142184	1.5642	1.3675	yes
SRR13181161	PACBIO_SMRT	2474943	3138020	2914888	1.2679	1.1778	yes
SRR13181163	PACBIO_SMRT	2823217	3573284	3318994	1.2657	1.1756	yes
SRR13181232	PACBIO_SMRT	2886678	3643291	3371752	1.2621	1.1680	yes
SRR13181256	PACBIO_SMRT	2446807	3142872	2930340	1.2845	1.1976	yes
SRR13181480	PACBIO_SMRT	2493537	3201290	2933694	1.2838	1.1765	yes
SRR13181598	PACBIO_SMRT	2093459	2468035	2334336	1.1789	1.1151	yes
SRR13181644	PACBIO_SMRT	2652865	3363295	3154084	1.2678	1.1889	yes
SRR13181648	PACBIO_SMRT	8031696	13644343	11545004	1.6988	1.4374	yes
SRR13181652	PACBIO_SMRT	8053224	14287582	11946517	1.7741	1.4834	yes
SRR13181654	PACBIO_SMRT	8082614	15528770	12628480	1.9213	1.5624	yes
SRR13181655	PACBIO_SMRT	8084048	16307282	13220236	2.0172	1.6353	yes
SRR13181968	PACBIO_SMRT	3928855	5009844	4635940	1.2751	1.1800	yes
SRR13181987	PACBIO_SMRT	4570957	5599141	5267151	1.2249	1.1523	yes
SRR13182350	PACBIO_SMRT	3619096	4761036	4380864	1.3155	1.2105	yes
SRR13182352	PACBIO_SMRT	4813143	6161951	5760689	1.2802	1.1969	yes
SRR13182360	PACBIO_SMRT	6613968	8397694	7786774	1.2697	1.1773	yes
SRR13182422	PACBIO_SMRT	4812038	5984071	5518660	1.2436	1.1468	yes
SRR13182559	PACBIO_SMRT	9798102	13650878	12419030	1.3932	1.2675	yes
SRR13182589	PACBIO_SMRT	2774993	3333935	3111955	1.2014	1.1214	yes
SRR13182691	PACBIO_SMRT	5058561	5944551	5568185	1.1751	1.1007	yes
SRR13183063	PACBIO_SMRT	6409097	8180275	7535846	1.2764	1.1758	yes
SRR13183064	PACBIO_SMRT	6409097	1932965	1513291	0.3016	0.2361	yes
SRR13183065	PACBIO_SMRT	6409097	7671859	7093073	1.1970	1.1067	yes
SRR13183067	PACBIO_SMRT	4808040	1825389	768420	0.3797	0.1598	yes
SRR13183068	PACBIO_SMRT	4808040	5796811	5369347	1.2056	1.1167	yes
SRR13183069	PACBIO_SMRT	4808040	5896958	5490794	1.2265	1.1420	yes
SRR13183070	PACBIO_SMRT	4808040	6229520	5733018	1.2956	1.1924	yes
SRR13183072	PACBIO_SMRT	4808040	5734646	4970590	1.1927	1.0338	yes
SRR13183073	PACBIO_SMRT	4808040	8317840	6634914	1.7300	1.3800	yes
SRR13195542	PACBIO_SMRT	3202093	6160477	4432080	1.9239	1.3841	yes
SRR13238532	PACBIO_SMRT	3038845	3867432	3468227	1.2727	1.1413	yes
SRR13355265	PACBIO_SMRT	5282528	6332272	5806527	1.1987	1.0992	yes
SRR13365414	PACBIO_SMRT	8193177	10326596	8632594	1.2604	1.0536	yes
SRR13443114	PACBIO_SMRT	2871334	3372512	3214902	1.1745	1.1197	yes
SRR13447360	PACBIO_SMRT	2886896	3399632	3239616	1.1776	1.1222	yes
SRR13449989	PACBIO_SMRT	2901393	3441586	3280316	1.1862	1.1306	yes
SRR13642592	PACBIO_SMRT	10410654	12476064	11529194	1.1984	1.1074	yes
SRR13668413	PACBIO_SMRT	5758155	7189443	6535454	1.2486	1.1350	yes
SRR13668427	PACBIO_SMRT	5557539	7012409	6443350	1.2618	1.1594	yes
SRR13668439	PACBIO_SMRT	5488143	6366689	5956060	1.1601	1.0853	yes
SRR13670000	PACBIO_SMRT	5082423	6062884	5690766	1.1929	1.1197	yes
SRR13670131	PACBIO_SMRT	5346695	6127756	5759562	1.1461	1.0772	yes
SRR13670628	PACBIO_SMRT	5590265	6374596	5977903	1.1403	1.0693	yes
SRR13672888	PACBIO_SMRT	5168953	5873575	5504788	1.1363	1.0650	yes
SRR13674228	PACBIO_SMRT	5278156	6259779	5860330	1.1860	1.1103	yes
SRR13674234	PACBIO_SMRT	5271331	7118825	6456596	1.3505	1.2249	yes
SRR13674408	PACBIO_SMRT	3373067	4623481	4181320	1.3707	1.2396	yes
SRR13674440	PACBIO_SMRT	1981414	2466406	2303624	1.2448	1.1626	yes
SRR13674457	PACBIO_SMRT	4105080	5230020	4625726	1.2740	1.1268	yes
SRR13674459	PACBIO_SMRT	4105436	5004319	4524508	1.2189	1.1021	yes
SRR13674460	PACBIO_SMRT	4105604	6154266	5235158	1.4990	1.2751	yes
SRR13674462	PACBIO_SMRT	4105067	5880155	5115497	1.4324	1.2461	yes
SRR13674464	PACBIO_SMRT	4104031	6172347	5303914	1.5040	1.2924	yes
SRR13837247	PACBIO_SMRT	4131713	4058372	4061610	0.9822	0.9830	yes
SRR14069006	PACBIO_SMRT	11399526	13173216	11337739	1.1556	0.9946	yes
SRR14069081	PACBIO_SMRT	11474152	13742545	12033218	1.1977	1.0487	yes
SRR14069623	PACBIO_SMRT	8753169	10098672	9373901	1.1537	1.0709	yes
SRR14075991	PACBIO_SMRT	11609901	17279114	14051552	1.4883	1.2103	yes
SRR14103433	PACBIO_SMRT	5329607	5633903	5513927	1.0571	1.0346	yes
SRR14108820	PACBIO_SMRT	5024671	6149560	5699194	1.2239	1.1342	yes
SRR14108825	PACBIO_SMRT	5114786	6032189	5670897	1.1794	1.1087	yes
SRR14108827	PACBIO_SMRT	5120965	6169764	5783977	1.2048	1.1295	yes
SRR14140347	PACBIO_SMRT	4434434	5189962	4905822	1.1704	1.1063	yes
SRR14181225	PACBIO_SMRT	4301978	11360082	9962500	2.6407	2.3158	yes
SRR14230922	OXFORD_NANOPORE	2101534	2394702	2454026	1.1395	1.1677	yes
SRR14294771	PACBIO_SMRT	1931655	1771261	1780543	0.9170	0.9218	yes
SRR14294773	PACBIO_SMRT	1935288	1867845	1877834	0.9652	0.9703	yes
SRR14294776	PACBIO_SMRT	1963796	1853197	1855493	0.9437	0.9449	yes
SRR14294777	PACBIO_SMRT	1931655	1808790	1821909	0.9364	0.9432	yes
SRR14294779	PACBIO_SMRT	1935288	2372372	2155642	1.2258	1.1139	yes
SRR14294782	PACBIO_SMRT	1963796	2378372	2145328	1.2111	1.0924	yes
SRR14294783	PACBIO_SMRT	1931655	2321055	2100377	1.2016	1.0873	yes
SRR14294785	PACBIO_SMRT	1935288	1819290	1834101	0.9401	0.9477	yes
SRR14294788	PACBIO_SMRT	1963796	1787003	1795392	0.9100	0.9142	yes
SRR14294789	PACBIO_SMRT	1955459	1864089	1868964	0.9533	0.9558	yes
SRR14318404	PACBIO_SMRT	9796466	11680336	11131493	1.1923	1.1363	yes
SRR14417043	PACBIO_SMRT	5000591	6221260	5780498	1.2441	1.1560	yes
SRR14419376	PACBIO_SMRT	5509697	7180250	6142488	1.3032	1.1149	yes
SRR14419378	PACBIO_SMRT	5634629	6380094	5684563	1.1323	1.0089	yes
SRR14419384	PACBIO_SMRT	5639358	8316827	6794010	1.4748	1.2047	yes
SRR14419388	PACBIO_SMRT	5555594	8549484	6937986	1.5389	1.2488	yes
SRR14458708	PACBIO_SMRT	9359382	11842680	10733012	1.2653	1.1468	yes
SRR14619782	PACBIO_SMRT	2915057	4040451	3770962	1.3861	1.2936	yes
SRR14621278	PACBIO_SMRT	2901641	4039840	3771427	1.3923	1.2998	yes
SRR14621967	PACBIO_SMRT	2912948	3948976	3725034	1.3557	1.2788	yes
SRR14693196	PACBIO_SMRT	5405563	8025816	7001791	1.4847	1.2953	yes
SRR14693198	PACBIO_SMRT	5346370	7942710	6892636	1.4856	1.2892	yes
SRR14757211	PACBIO_SMRT	2719233	3206226	2961088	1.1791	1.0889	yes
SRR14757212	PACBIO_SMRT	2719235	3210004	2969228	1.1805	1.0919	yes
SRR14757213	PACBIO_SMRT	2719166	3344807	3075117	1.2301	1.1309	yes
SRR14757215	PACBIO_SMRT	2766978	3279686	3040352	1.1853	1.0988	yes
SRR14757216	PACBIO_SMRT	2766976	3233014	2960293	1.1684	1.0699	yes
SRR14757217	PACBIO_SMRT	2766976	3338022	3055624	1.2064	1.1043	yes
SRR14757218	PACBIO_SMRT	2766978	3237734	2977985	1.1701	1.0763	yes
SRR14757219	PACBIO_SMRT	2766975	3171067	2940276	1.1460	1.0626	yes
SRR14757220	PACBIO_SMRT	2766975	3293694	3031007	1.1904	1.0954	yes
SRR14757221	PACBIO_SMRT	2766990	3354664	3094908	1.2124	1.1185	yes
SRR14757222	PACBIO_SMRT	2766976	3287970	3027876	1.1883	1.0943	yes
SRR14757224	PACBIO_SMRT	2766976	3363690	3092999	1.2157	1.1178	yes
SRR14867659	PACBIO_SMRT	2206600	3094674	2526928	1.4025	1.1452	yes
SRR15032814	PACBIO_SMRT	2174189	2239572	2107697	1.0301	0.9694	yes
SRR15032816	PACBIO_SMRT	2234079	2277408	2166002	1.0194	0.9695	yes
SRR15032817	PACBIO_SMRT	2177032	2280143	2132458	1.0474	0.9795	yes
SRR15070654	PACBIO_SMRT	3838032	4799402	4630202	1.2505	1.2064	yes
SRR15070656	PACBIO_SMRT	3980134	4886438	4688118	1.2277	1.1779	yes
SRR15075397	PACBIO_SMRT	5021319	5982462	5708584	1.1914	1.1369	yes
SRR15075399	PACBIO_SMRT	2510261	2891118	2771136	1.1517	1.1039	yes
SRR15075400	PACBIO_SMRT	2881812	3362580	3214461	1.1668	1.1154	yes
SRR15075449	PACBIO_SMRT	5602625	6489618	6239589	1.1583	1.1137	yes
SRR15075454	PACBIO_SMRT	4915930	5766554	5549246	1.1730	1.1288	yes
SRR15075462	PACBIO_SMRT	4782529	5652788	5436187	1.1820	1.1367	yes
SRR15076203	PACBIO_SMRT	5281764	6150702	5924642	1.1645	1.1217	yes
SRR15076260	PACBIO_SMRT	4543156	5329824	5157279	1.1732	1.1352	yes
SRR15076386	PACBIO_SMRT	2019345	2473808	2416914	1.2251	1.1969	yes
SRR15076581	PACBIO_SMRT	4922539	6664164	6033582	1.3538	1.2257	yes
SRR15076584	PACBIO_SMRT	4539453	6346798	5774498	1.3981	1.2721	yes
SRR15076596	PACBIO_SMRT	4493834	7337684	6259998	1.6328	1.3930	yes
SRR15076597	PACBIO_SMRT	4346429	6453411	5677814	1.4848	1.3063	yes
SRR15076623	PACBIO_SMRT	4454045	6237210	5650423	1.4003	1.2686	yes
SRR15076625	PACBIO_SMRT	4614193	6302351	5763443	1.3659	1.2491	yes
SRR15076628	PACBIO_SMRT	4645825	6208738	5651554	1.3364	1.2165	yes
SRR15076629	PACBIO_SMRT	4518831	6168450	5660125	1.3651	1.2526	yes
SRR15076632	PACBIO_SMRT	4701520	6351579	5797819	1.3510	1.2332	yes
SRR15079688	PACBIO_SMRT	4819779	6647322	6024966	1.3792	1.2501	yes
SRR15079691	PACBIO_SMRT	4793224	6337463	5832423	1.3222	1.2168	yes
SRR15079693	PACBIO_SMRT	4844434	7062141	6266221	1.4578	1.2935	yes
SRR15079695	PACBIO_SMRT	4738672	6770597	6077458	1.4288	1.2825	yes
SRR15079697	PACBIO_SMRT	4377952	6766759	5812812	1.5456	1.3277	yes
SRR15079699	PACBIO_SMRT	4510294	6333809	5781650	1.4043	1.2819	yes
SRR15079701	PACBIO_SMRT	4588770	6000731	5563531	1.3077	1.2124	yes
SRR15139186	PACBIO_SMRT	5800740	7160908	6632935	1.2345	1.1435	yes
SRR15140980	PACBIO_SMRT	8538927	10471917	9627211	1.2264	1.1274	yes
SRR15171257	PACBIO_SMRT	6931886	8329258	7848750	1.2016	1.1323	yes
SRR15195250	PACBIO_SMRT	2311508	2416878	2275326	1.0456	0.9843	yes
SRR15244009	PACBIO_SMRT	4778271	6208574	5692427	1.2993	1.1913	yes
SRR15291770	PACBIO_SMRT	4944441	5282650	5027766	1.0684	1.0169	yes
