accession	truth_bp	version	mode	seed	target_reads_used	query_reads_used	estimate_bp	estimate_over_truth	iqr_low_bp	iqr_high_bp	queries_without_overlaps_pct
SRR26715166	2271523	before	auto	19	1240	2510	1889966	0.832	447820	2440000	0.0
SRR26715166	2271523	after	auto	20	2497	1248	2139360	0.942	491370	2520000	0.0
SRR26715166	2271523	before	auto	20	1239	2506	2041242	0.899	442460	2550000	0.0
SRR26715166	2271523	after	never	1	4982	2491	543396	0.239	65920	2450000	0.08
SRR26715166	2271523	before	never	1	2473	5000	486891	0.214	39890	2210000	0.0
SRR26715166	2271523	after	never	2	4982	2491	563016	0.248	66380	2250000	0.0
SRR26715166	2271523	before	never	2	2473	5000	454930	0.200	41850	2080000	0.0
SRR26715166	2271523	after	never	3	4982	2491	564971	0.249	61820	2430000	0.0
SRR26715166	2271523	before	never	3	2473	5000	472370	0.208	42650	2040000	0.02
SRR26715166	2271523	after	never	4	4982	2491	455470	0.201	62230	1960000	0.08
SRR26715166	2271523	before	never	4	2473	5000	456129	0.201	40850	1950000	0.02
SRR26715166	2271523	after	never	5	4982	2491	515322	0.227	61000	2440000	0.08
SRR26715166	2271523	before	never	5	2473	5000	441190	0.194	41770	1940000	0.0
SRR26715166	2271523	after	never	6	4982	2491	536907	0.236	70040	2000000	0.08
SRR26715166	2271523	before	never	6	2473	5000	501094	0.221	42900	2090000	0.04
SRR26715166	2271523	after	never	7	4982	2491	495617	0.218	68850	2060000	0.04
SRR26715166	2271523	before	never	7	2473	5000	442439	0.195	42140	1980000	0.0
SRR26715166	2271523	after	never	8	4982	2491	586372	0.258	66540	2270000	0.04
SRR26715166	2271523	before	never	8	2473	5000	493603	0.217	40080	2170000	0.02
SRR26715166	2271523	after	never	9	4982	2491	445043	0.196	61840	2010000	0.08
SRR26715166	2271523	before	never	9	2473	5000	460179	0.203	41870	1920000	0.0
SRR26715166	2271523	after	never	10	4982	2491	563640	0.248	67590	2180000	0.08
SRR26715166	2271523	before	never	10	2473	5000	436910	0.192	43480	1920000	0.0
SRR26715166	2271523	after	never	11	4982	2491	563360	0.248	68900	2350000	0.0
SRR26715166	2271523	before	never	11	2473	5000	483131	0.213	40620	2210000	0.0
SRR26715166	2271523	after	never	12	4982	2491	510611	0.225	65870	2190000	0.0
SRR26715166	2271523	before	never	12	2473	5000	544400	0.240	42550	2120000	0.0
SRR26715166	2271523	after	never	13	4982	2491	540425	0.238	65550	2330000	0.08
SRR26715166	2271523	before	never	13	2473	5000	544469	0.240	40150	2180000	0.0
SRR26715166	2271523	after	never	14	4982	2491	472572	0.208	66690	2100000	0.08
SRR26715166	2271523	before	never	14	2473	5000	470081	0.207	43350	2280000	0.0
SRR26715166	2271523	after	never	15	4982	2491	473027	0.208	68480	2330000	0.08
SRR26715166	2271523	before	never	15	2473	5000	455278	0.200	40750	2150000	0.0
SRR26715166	2271523	after	never	16	4982	2491	588629	0.259	64460	2290000	0.0
SRR26715166	2271523	before	never	16	2473	5000	419037	0.184	42580	2030000	0.0
SRR26715166	2271523	after	never	17	4982	2491	568874	0.250	59810	2460000	0.04
SRR26715166	2271523	before	never	17	2473	5000	490566	0.216	40770	2100000	0.02
SRR26715166	2271523	after	never	18	4982	2491	501519	0.221	62290	2210000	0.04
SRR26715166	2271523	before	never	18	2473	5000	451652	0.199	41700	2030000	0.02
SRR26715166	2271523	after	never	19	4982	2491	508225	0.224	63070	2230000	0.04
SRR26715166	2271523	before	never	19	2473	5000	426348	0.188	43140	2140000	0.0
SRR26715166	2271523	after	never	20	4982	2491	484765	0.213	66040	2080000	0.04
SRR26715166	2271523	before	never	20	2473	5000	432150	0.190	44000	2030000	0.0
